quest_id,title,arc,unlock_requirement,giver,turn_in,location,quest_type,story_purpose,subquest_count,subquests,godly_reward_id,godly_reward_name,reward_class
SW-PG-001,Secure The Broken Skyhook — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,The Aerie of Oaths,Investigation,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,5,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the The Aerie of Oaths, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Aetherhook Guard, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Silverwing Corvette component, or oath record before the stormfront timer expires. | 5. Survive the investigation escalation, environmental hazard, or boarding-wave counterattack using level-40 postgame combat rules.",GOD-SW-PROTOCOL_WEAVER-01,Revision Crown of the Open Sky,Protocol Weaver
SW-PG-002,Recover The Oath Beacon — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,Oath Ring Observatory,Fleet Recovery,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,3,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the Oath Ring Observatory, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Oathwake Wing, then clear the required route without allowing civilian or ship systems to fail.",GOD-SW-APEX_MUTATOR-01,Ascendant Genome Crown of the Open Sky,Apex Mutator
SW-PG-003,Decode The Lost Wing Ledger — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,North Skydocks,Defense,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,4,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the North Skydocks, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Stormglass Circle, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Thunderline Dropship component, or oath record before the stormfront timer expires.",GOD-SW-RESONANT-01,Festival Thunder Crown of the Open Sky,Resonant
SW-PG-004,Stabilize The Storm-Lattice — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,Aether Beacon,Boarding Action,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,5,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the Aether Beacon, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Dawnmast Company, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Tempest Frigate component, or oath record before the stormfront timer expires. | 5. Survive the boarding action escalation, environmental hazard, or boarding-wave counterattack using level-40 postgame combat rules.",GOD-SW-PACKMASTER-01,Twin Oath Crown of the Open Sky,Packmaster
SW-PG-005,Chart The Captainless Skiff — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,Horizon Barracks,Diplomacy,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,3,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the Horizon Barracks, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Voidweather Watch, then clear the required route without allowing civilian or ship systems to fail.",GOD-SW-ORBITAL_STRIKER-01,Exosphere Crown of the Open Sky,Orbital Striker
SW-PG-006,Defend The Voidweather Wound — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,The Aerie of Oaths,Storm-Vault Delve,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,4,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the The Aerie of Oaths, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Horizon Rescue, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Aerie Cruiser component, or oath record before the stormfront timer expires.",GOD-SW-SCRAP_TEK-01,Junkyard Crown Crown of the Open Sky,Scrap-Tek
SW-PG-007,Board The Shattered Dockline — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,Oath Ring Observatory,Rescue,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,5,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the Oath Ring Observatory, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Prime Aerie Command, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Stormcrown Dreadnought component, or oath record before the stormfront timer expires. | 5. Survive the rescue escalation, environmental hazard, or boarding-wave counterattack using level-40 postgame combat rules.",GOD-SW-KINETIC_JUGGERNAUT-01,Asteroid Plate Crown of the Open Sky,Kinetic Juggernaut
SW-PG-008,Consecrate The Cloud Treaty — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,North Skydocks,Aether Calibration,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,3,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the North Skydocks, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Bluewing Cadre, then clear the required route without allowing civilian or ship systems to fail.",GOD-SW-PHANTOM_SHIFT-01,Reality Shard Crown of the Open Sky,Phantom-Shift
SW-PG-009,Interdict The Aether Compass — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,Aether Beacon,Elite Hunt,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,4,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the Aether Beacon, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Gale Lanterns, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Wisp Runner component, or oath record before the stormfront timer expires.",GOD-SW-SYLVAN_WARDEN-01,Worldroot Crown of the Open Sky,Sylvan Warden
SW-PG-010,Escort The Forbidden Launch Key — Wing I,Act I: The Aerie Reopened,Unlocks only after main Quest 250 completion and defeat of the final Astral Sovereign-class postgame gate condition.,Torinn Rhogar,Torinn Rhogar,Horizon Barracks,Oath Trial,Rebuild the sky wardens headquarters after the final boss collapse; this quest advances Sky Warden authority without creating or instantiating Torinn Rhogar as an NPC asset.,5,"1. Receive the sealed order from Torinn Rhogar and verify the postgame unlock seal against the Astral Sovereign defeat record. | 2. Inspect the Horizon Barracks, mark hazards, and log any skyship, ward, or anomaly damage on the Sky Warden operations slate. | 3. Coordinate with the Thunderline Cohort, then clear the required route without allowing civilian or ship systems to fail. | 4. Recover the primary objective item, proof fragment, survivor, Cloudlace Courier component, or oath record before the stormfront timer expires. | 5. Survive the oath trial escalation, environmental hazard, or boarding-wave counterattack using level-40 postgame combat rules.",GOD-SW-FLUX_CASTER-01,Thermal Halo Crown of the Open Sky,Flux-Caster
