item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0150,Tuned Subterranean Grid Tinplate Asteroid Cloak of Aerial Juggle,Standard / Non-Godly,,3,Uncommon,2,38,Armor,Back,Cloak,Light,,0,0,11,1,11,Threat Control,Shield Break,Flux Charge Gain,Kinetic Juggernaut,Aerial Juggle,Standard affix: modest Aerial Juggle bonus appropriate for level 3.,Faction Vendor,Faction vendor item unlocked by reputation in Subterranean Grid; non-Godly and trade-limited.,The Subterranean Grid,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 3 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0187,Tuned Pachyderm Sanctuaries Aether-Wood Scrap Chestplate of Dream Memory,Standard / Non-Godly,,4,Uncommon,2,47,Armor,Chest,Chestplate,Light,,0,0,45,3,13,Stagger Damage,Fortitude,Stagger Damage,Scrap-Tek,Dream Memory,Standard affix: modest Dream Memory bonus appropriate for level 4.,Faction Vendor,Faction vendor item unlocked by reputation in Pachyderm Sanctuaries; non-Godly and trade-limited.,The Pachyderm Sanctuaries,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 4 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0208,Tuned Emerald Canopy Sanctuary Gridglass Ironbark Mask of Dawnforge Resolve,Standard / Non-Godly,,5,Uncommon,2,47,Armor,Head,Mask,Light,,0,0,17,1,13,Stagger Damage,Aether,Flux Charge Gain,Sylvan Warden,Dawnforge Resolve,Standard affix: modest Dawnforge Resolve bonus appropriate for level 5.,Faction Vendor,Faction vendor item unlocked by reputation in Emerald Canopy Sanctuary; non-Godly and trade-limited.,The Emerald Canopy Sanctuary,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 5 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0250,Hardened Pachyderm Sanctuaries Aether-Wood Aether-Edit Legwraps of Afterimage Echo,Standard / Non-Godly,,5,Rare,3,58,Armor,Legs,Legwraps,Light,,0,0,25,2,16,Flux Charge Gain,Threat Control,Protocol Rating,Protocol Weaver,Afterimage Echo,Standard affix: modest Afterimage Echo bonus appropriate for level 5.,Faction Vendor,Faction vendor item unlocked by reputation in Pachyderm Sanctuaries; non-Godly and trade-limited.,The Pachyderm Sanctuaries,Faction Vendor,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 5 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0266,Tuned Emerald Canopy Sanctuary Cottonweave Root Coat of Briar Binding,Standard / Non-Godly,,6,Uncommon,2,54,Armor,Chest,Coat,Light,,0,0,35,2,15,Evolution Point Gain,Altitude Charge Gain,Verdant Point Gain,Sylvan Warden,Briar Binding,Standard affix: modest Briar Binding bonus appropriate for level 6.,Faction Vendor,Faction vendor item unlocked by reputation in Emerald Canopy Sanctuary; non-Godly and trade-limited.,The Emerald Canopy Sanctuary,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 6 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0308,Tuned Pachyderm Sanctuaries Cloudhook Brass Sub-Bass Aegis Shield of Aerial Juggle,Standard / Non-Godly,,7,Uncommon,2,63,Armor,Shield,Aegis Shield,Medium,,0,0,47,3,18,Protocol Rating,Protocol Rating,Protocol Rating,Resonant,Aerial Juggle,Standard affix: modest Aerial Juggle bonus appropriate for level 7.,Faction Vendor,Faction vendor item unlocked by reputation in Pachyderm Sanctuaries; non-Godly and trade-limited.,The Pachyderm Sanctuaries,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 7 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0350,Hardened Whispering Glade Gridglass Zero-G Greatsword of Scrap Magnetism,Standard / Non-Godly,,7,Rare,3,80,Weapon,Two-Hand Weapon,Greatsword,None,Slow,34,52,0,0,10,Resonance,Aether,Agility,Orbital Striker,Scrap Magnetism,Standard affix: modest Scrap Magnetism bonus appropriate for level 7.,Faction Vendor,Faction vendor item unlocked by reputation in Whispering Glade; non-Godly and trade-limited.,The Whispering Glade,Faction Vendor,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 7 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0366,Tuned Evolution Arenas Civic Iron Reverb Visor of Evolution Charge,Standard / Non-Godly,,8,Uncommon,2,70,Armor,Head,Visor,Light,,0,0,24,2,20,Might,Critical Chance,Kinetic Charge,Resonant,Evolution Charge,Standard affix: modest Evolution Charge bonus appropriate for level 8.,Faction Vendor,Faction vendor item unlocked by reputation in Evolution Arenas; non-Godly and trade-limited.,The Evolution Arenas,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 8 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0408,Tuned Whispering Glade Tinplate Haymaker Sonic Maul of Afterimage Echo,Standard / Non-Godly,,9,Uncommon,2,83,Weapon,Two-Hand Weapon,Sonic Maul,None,Slow,33,50,0,0,10,Threat Control,Scrap Charge Gain,Agility,Kinetic Juggernaut,Afterimage Echo,Standard affix: modest Afterimage Echo bonus appropriate for level 9.,Faction Vendor,Faction vendor item unlocked by reputation in Whispering Glade; non-Godly and trade-limited.,The Whispering Glade,Faction Vendor,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 9 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0450,Hardened Micro-Transaction Markets Cloudhook Brass Thorn Crossbow of Low-Gravity Lift,Standard / Non-Godly,,9,Rare,3,98,Weapon,Ranged Weapon,Crossbow,None,Medium,33,52,0,0,12,Combo Decay Resistance,Protocol Rating,Shield Break,Sylvan Warden,Low-Gravity Lift,Standard affix: modest Low-Gravity Lift bonus appropriate for level 9.,Faction Vendor,Faction vendor item unlocked by reputation in Micro-Transaction Markets; non-Godly and trade-limited.,The Micro-Transaction Markets,Faction Vendor,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 9 weapon tuned for early band enemies; source never requires fighting above the item level.
