item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0001,Plain Central Pillar Wirehide K-0NG Pauldrons of Briar Binding,Standard / Non-Godly,,1,Common,1,21,Armor,Shoulders,Pauldrons,Light,,0,0,12,1,6,Focus,Aether,Fortitude,Packmaster,Briar Binding,Standard affix: modest Briar Binding bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0006,Plain Central Pillar Aether-Wood World-Tree Protocol Blade of Hydraulic Burst,Standard / Non-Godly,,1,Common,1,24,Weapon,Main Hand,Protocol Blade,None,Medium,8,12,0,0,3,Protocol Rating,Flux Charge Gain,Combo Decay Resistance,Sylvan Warden,Hydraulic Burst,Standard affix: modest Hydraulic Burst bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0011,Plain Urban Sprawl Ash-Tanned Hound Visor of Mirror Deflection,Standard / Non-Godly,,1,Common,1,19,Armor,Head,Visor,Light,,0,0,6,0,5,Verdant Point Gain,Agility,Verdant Point Gain,Packmaster,Mirror Deflection,Standard affix: modest Mirror Deflection bonus appropriate for level 1.,Random Chest,Random chest find from Urban Sprawl exploration caches; respects required level 1.,The Urban Sprawl,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0012,Plain Subterranean Grid Gridglass Altitude Mantle of Sonic Reverb,Standard / Non-Godly,,1,Common,1,21,Armor,Shoulders,Mantle,Light,,0,0,9,1,6,Flux Charge Gain,Aether,Stagger Damage,Orbital Striker,Sonic Reverb,Standard affix: modest Sonic Reverb bonus appropriate for level 1.,Random Chest,Random chest find from Subterranean Grid exploration caches; respects required level 1.,The Subterranean Grid,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0017,Plain Urban Sprawl Wirehide Crucible Glaive of Flow Retention,Standard / Non-Godly,,1,Common,1,24,Weapon,Two-Hand Weapon,Glaive,None,Medium,9,13,0,0,3,Cooldown Recovery,Flux Charge Gain,Evolution Point Gain,Flux-Caster,Flow Retention,Standard affix: modest Flow Retention bonus appropriate for level 1.,Random Chest,Random chest find from Urban Sprawl exploration caches; respects required level 1.,The Urban Sprawl,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0022,Plain Zenith Spire Aether-Wood Thruster Chestplate of Critical Timing,Standard / Non-Godly,,1,Common,1,19,Armor,Chest,Chestplate,Light,,0,0,18,1,5,Agility,Agility,Agility,Orbital Striker,Critical Timing,Standard affix: modest Critical Timing bonus appropriate for level 1.,Random Chest,Random chest find from Zenith Spire exploration caches; respects required level 1.,The Zenith Spire,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0027,Plain Central Pillar Ash-Tanned Maelstrom Tuning-Fork Blade of EMP Resistance,Standard / Non-Godly,,1,Common,1,22,Weapon,Main Hand,Tuning-Fork Blade,None,Medium,8,11,0,0,3,Kinetic Charge,Scrap Charge Gain,Armor Pierce,Flux-Caster,EMP Resistance,Standard affix: modest EMP Resistance bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0032,Plain Central Pillar Tinplate Zero-G Aegis Shield of Afterimage Echo,Standard / Non-Godly,,1,Common,1,17,Armor,Shield,Aegis Shield,Light,,0,0,13,1,5,Scrap Charge Gain,Threat Control,Command Point Gain,Orbital Striker,Afterimage Echo,Standard affix: modest Afterimage Echo bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0033,Plain Central Pillar Wirehide Hydraulic Coat of Starwell Sync,Standard / Non-Godly,,1,Common,1,19,Armor,Chest,Coat,Light,,0,0,12,1,5,Verdant Point Gain,Agility,Verdant Point Gain,Scrap-Tek,Starwell Sync,Standard affix: modest Starwell Sync bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0038,Plain Subterranean Grid Aether-Wood Aether-Edit Protocol Blade of Scrap Magnetism,Standard / Non-Godly,,1,Common,1,22,Weapon,Main Hand,Protocol Blade,None,Medium,7,11,0,0,3,Shield Break,Scrap Charge Gain,Resonance,Protocol Weaver,Scrap Magnetism,Standard affix: modest Scrap Magnetism bonus appropriate for level 1.,Random Chest,Random chest find from Subterranean Grid exploration caches; respects required level 1.,The Subterranean Grid,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
