event_id,event_title,world_map_location,map_category,sublocation,required_player_level,recommended_combat_rating,difficulty_kind,event_type,xp_reward,spawned_enemy_xp_reward,primary_variant,primary_standard_monster,support_variants,encounter_goal,trigger_rule,failure_state,hazard_profile,variant_mechanic,no_xp_policy,group_scaling,loot_item,loot_tier,item_slot,item_power,first_clear_reward,repeat_drop_rule,unique_perk,drop_chance_percent
SEV-001,Overcharged Incident: Spire-Foot Transit Plaza,The Urban Sprawl,Central Hub,Spire-Foot Transit Plaza,20,22,Boss-Echo,Elite Ambush,0,0,Overcharged Null Anomaly,Null Anomaly,Overcharged Iron-Jaw Hound | Overcharged Tremor-Fiend,"Break the Null Anomaly echo before its signature phase mechanic fully resolves, while suppressing support variants and maintaining encounter control.","Trigger only when player level >= 20, player enters or completes a combat action inside Spire-Foot Transit Plaza, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","high-speed transit sweeps, lane swaps, and lethal timing windows","Overcharged Echo Rule: the boss repeats one signature world mechanic at 70%, 40%, and 15% health, each time with a tighter counter window.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Spire-Foot Null Ring,Refined Relic,ring,540,Guaranteed first-clear: Spire-Foot Null Ring pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique ring; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Null Anomaly mechanics. Does not increase XP gain.",20
SEV-002,Bark-Crowned Incident: Lower Civic Ring,The Urban Sprawl,Central Hub,Lower Civic Ring,20,22,Elite-Variant,Environmental Surge,0,0,Bark-Crowned Iron-Jaw Hound,Iron-Jaw Hound,Bark-Crowned Tremor-Fiend | Bark-Crowned Venom-Spitter,"Hunt the mobile flanker variant, protect isolated players from pin mechanics, and force the enemy into a punishable arena state.","Trigger only when player level >= 20, player enters or completes a combat action inside Lower Civic Ring, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Bark-Crowned Pack Latch: if the first latch is not broken within 4 seconds, a support hound joins and halves the victim’s healing received.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Lower Iron-Jaw Amulet,Refined Relic,amulet,547,Guaranteed first-clear: Lower Iron-Jaw Amulet pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique amulet; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20
SEV-003,Echo-Split Incident: Collapsed Skywalk Lanes,The Urban Sprawl,Central Hub,Collapsed Skywalk Lanes,20,22,Elite-Variant,Variant Hunt,0,0,Echo-Split Venom-Spitter,Venom-Spitter,Echo-Split Aegis Carapace | Echo-Split Tremor-Fiend,"Control priority targets, solve the counter/vault pattern under added hazard pressure, and collapse the elite formation without dropping flow.","Trigger only when player level >= 20, player enters or completes a combat action inside Collapsed Skywalk Lanes, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Echo-Split Corrosive Ricochet: reversed projectiles split once, rewarding precise counters but punishing mistimed reversal spam.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Collapsed Venom-Spitter Main-Hand Weapon,Refined Relic,main-hand weapon,554,Guaranteed first-clear: Collapsed Venom-Spitter Main-Hand Weapon pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique main-hand weapon; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Venom-Spitter mechanics. Does not increase XP gain.",20
SEV-004,Null-Branded Incident: Alliance Muster Square,The Urban Sprawl,Central Hub,Alliance Muster Square,20,22,Elite-Variant,Timed Defense,0,0,Null-Branded Tremor-Fiend,Tremor-Fiend,Null-Branded Iron-Jaw Hound | Null-Branded Aegis Carapace,"Control priority targets, solve the counter/vault pattern under added hazard pressure, and collapse the elite formation without dropping flow.","Trigger only when player level >= 20, player enters or completes a combat action inside Alliance Muster Square, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Null-Branded Syncopation: Metronome Strike intentionally skips every fourth beat, punishing players who rely only on memorized rhythm.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Alliance Tremor-Fiend Off-Hand Focus,Refined Relic,off-hand focus,561,Guaranteed first-clear: Alliance Tremor-Fiend Off-Hand Focus pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique off-hand focus; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Tremor-Fiend mechanics. Does not increase XP gain.",20
SEV-005,Rhythm-Warped Incident: Old Wayfinder Stairs,The Urban Sprawl,Central Hub,Old Wayfinder Stairs,20,22,Elite-Variant,Rift Incursion,0,0,Rhythm-Warped Aegis Carapace,Aegis Carapace,Rhythm-Warped Tremor-Fiend | Rhythm-Warped Venom-Spitter,"Control priority targets, solve the counter/vault pattern under added hazard pressure, and collapse the elite formation without dropping flow.","Trigger only when player level >= 20, player enters or completes a combat action inside Old Wayfinder Stairs, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Rhythm-Warped Rotating Bulwark: frontal armor rotates 90 degrees after every vault punish, forcing alternating aerial and rear attacks.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Old Aegis Relic Core,Refined Relic,relic core,568,Guaranteed first-clear: Old Aegis Relic Core pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique relic core; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Aegis Carapace mechanics. Does not increase XP gain.",20
SEV-006,Grav-Torn Incident: Glass Lobby Atrium,The Zenith Spire,Central Hub / Vertical Spine,Glass Lobby Atrium,20,22,Elite-Variant,Horde Compression,0,0,Grav-Torn Iron-Jaw Hound,Iron-Jaw Hound,Grav-Torn Aegis Carapace | Grav-Torn Tremor-Fiend,"Survive a condensed horde pattern, prevent escalation loops, and eliminate the Iron-Jaw Hound variant commander before it converts the sublocation into a permanent hazard node.","Trigger only when player level >= 20, player enters or completes a combat action inside Glass Lobby Atrium, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Grav-Torn Pack Latch: if the first latch is not broken within 4 seconds, a support hound joins and halves the victim’s healing received.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Glass Iron-Jaw Class Mod,Refined Relic,class mod,540,Guaranteed first-clear: Glass Iron-Jaw Class Mod pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique class mod; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20
SEV-007,Phase-Bound Incident: Executive Lift Shafts,The Zenith Spire,Central Hub / Vertical Spine,Executive Lift Shafts,21,23,Elite-Variant,Mini-Boss Echo,0,0,Phase-Bound Venom-Spitter,Venom-Spitter,Phase-Bound Iron-Jaw Hound | Phase-Bound Aegis Carapace,"Control priority targets, solve the counter/vault pattern under added hazard pressure, and collapse the elite formation without dropping flow.","Trigger only when player level >= 21, player enters or completes a combat action inside Executive Lift Shafts, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Phase-Bound Corrosive Ricochet: reversed projectiles split once, rewarding precise counters but punishing mistimed reversal spam.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Executive Venom-Spitter Weapon Skin,Refined Relic,weapon skin,565,Guaranteed first-clear: Executive Venom-Spitter Weapon Skin pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique weapon skin; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Venom-Spitter mechanics. Does not increase XP gain.",20
SEV-008,Venom-Laced Incident: Atmospheric Observation Deck,The Zenith Spire,Central Hub / Vertical Spine,Atmospheric Observation Deck,21,23,Boss-Echo,Traversal Gauntlet,0,0,Venom-Laced Null Anomaly,Null Anomaly,Venom-Laced Aegis Carapace | Venom-Laced Venom-Spitter,"Break the Null Anomaly echo before its signature phase mechanic fully resolves, while suppressing support variants and maintaining encounter control.","Trigger only when player level >= 21, player enters or completes a combat action inside Atmospheric Observation Deck, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Venom-Laced Echo Rule: the boss repeats one signature world mechanic at 70%, 40%, and 15% health, each time with a tighter counter window.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Atmospheric Null Back Trophy,Refined Relic,back trophy,572,Guaranteed first-clear: Atmospheric Null Back Trophy pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique back trophy; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Null Anomaly mechanics. Does not increase XP gain.",20
SEV-009,Warden-Fused Incident: Star-Elevator Spine,The Zenith Spire,Central Hub / Vertical Spine,Star-Elevator Spine,21,23,Elite-Variant,Hazard Lockdown,0,0,Warden-Fused Aegis Carapace,Aegis Carapace,Warden-Fused Iron-Jaw Hound | Warden-Fused Tremor-Fiend,"Control priority targets, solve the counter/vault pattern under added hazard pressure, and collapse the elite formation without dropping flow.","Trigger only when player level >= 21, player enters or completes a combat action inside Star-Elevator Spine, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Warden-Fused Rotating Bulwark: frontal armor rotates 90 degrees after every vault punish, forcing alternating aerial and rear attacks.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Star-Elevator Battle-Tonic Schematic,Refined Relic,consumable schematic,579,Guaranteed first-clear: Star-Elevator Battle-Tonic Schematic pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique consumable schematic; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Aegis Carapace mechanics. Does not increase XP gain.",20
SEV-010,Sovereign-Touched Incident: Oligarch Glass Suite,The Zenith Spire,Central Hub / Vertical Spine,Oligarch Glass Suite,21,23,Elite-Variant,Alliance Trial,0,0,Sovereign-Touched Iron-Jaw Hound,Iron-Jaw Hound,Sovereign-Touched Venom-Spitter | Sovereign-Touched Aegis Carapace,"Hunt the mobile flanker variant, protect isolated players from pin mechanics, and force the enemy into a punishable arena state.","Trigger only when player level >= 21, player enters or completes a combat action inside Oligarch Glass Suite, and the sublocation has not awarded its weekly unique-loot eligibility. Completion XP and spawned-enemy XP are both forcibly set to 0.","Event fails if the local anomaly reaches 100% intensity, all eligible players are downed, or the primary variant completes its empowered phase three times. Failure gives no XP and no loot roll.","elite spawn pressure, sublocation-specific chokepoints, and forced traversal interrupts","Sovereign-Touched Pack Latch: if the first latch is not broken within 4 seconds, a support hound joins and halves the victim’s healing received.",0 completion XP; 0 spawned-enemy XP; combo-multiplier XP hooks disabled; event cannot be chained for leveling.,"Solo-scaled, 2-player, 4-player, and 8-player public-event variants; HP scales by +65% per additional player after the first, damage scales by +8% per additional player, and loot eligibility requires active contribution.",Oligarch Iron-Jaw Helmet,Refined Relic,helmet,586,Guaranteed first-clear: Oligarch Iron-Jaw Helmet pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique helmet; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20
