item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0005,Plain Urban Sprawl Civic Iron Stutter Magnetic Grapple Gauntlet of Thermal Shock,Standard / Non-Godly,,1,Common,1,22,Weapon,Arm Weapon,Magnetic Grapple Gauntlet,None,Fast,7,10,0,0,3,Kinetic Charge,Scrap Charge Gain,Armor Pierce,Phantom-Shift,Thermal Shock,Standard affix: modest Thermal Shock bonus appropriate for level 1.,Monster Drop,Drops from level-1 Scrap-Phalanx variants in Urban Sprawl; component: phalanx shield scrap.,The Urban Sprawl,Scrap-Phalanx,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0010,Plain Urban Sprawl Cloudhook Brass Wub Cloak of Projectile Reversal,Standard / Non-Godly,,1,Common,1,17,Armor,Back,Cloak,Light,,0,0,5,0,5,Scrap Charge Gain,Threat Control,Command Point Gain,Resonant,Projectile Reversal,Standard affix: modest Projectile Reversal bonus appropriate for level 1.,Monster Drop,Drops from level-1 Siphon-Ticks variants in Urban Sprawl; component: siphon glands.,The Urban Sprawl,Siphon-Ticks,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0015,Plain Raid-Rush Choke Points Cottonweave Afterimage Scrap Cannon of Kinetic Absorption,Standard / Non-Godly,,1,Common,1,20,Weapon,Heavy Ranged,Scrap Cannon,None,Slow,9,13,0,0,2,Armor Pierce,Command Point Gain,Focus,Phantom-Shift,Kinetic Absorption,Standard affix: modest Kinetic Absorption bonus appropriate for level 1.,Monster Drop,Drops from level-1 Grid-Rushers variants in Raid-Rush Choke Points; component: rush-core filaments.,The Raid-Rush Choke Points,Grid-Rushers,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0016,Plain Zenith Spire Tinplate Verdant Greatsword of Dream Memory,Standard / Non-Godly,,1,Common,1,22,Weapon,Two-Hand Weapon,Greatsword,None,Slow,10,14,0,0,3,Shield Break,Scrap Charge Gain,Resonance,Sylvan Warden,Dream Memory,Standard affix: modest Dream Memory bonus appropriate for level 1.,Monster Drop,Drops from level-1 Gnarl-Maws variants in Zenith Spire; component: gnarl-hide plates.,The Zenith Spire,Gnarl-Maws,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0021,Plain Zenith Spire Civic Iron Pack Cape of Protocol Revision,Standard / Non-Godly,,1,Common,1,17,Armor,Back,Cape,Light,,0,0,4,0,5,Might,Threat Control,Perfect Parry Window,Packmaster,Protocol Revision,Standard affix: modest Protocol Revision bonus appropriate for level 1.,Monster Drop,Drops from level-1 Scrap-Phalanx variants in Zenith Spire; component: phalanx shield scrap.,The Zenith Spire,Scrap-Phalanx,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0026,Plain Central Pillar Cloudhook Brass Thorn Battleaxe of Aerial Juggle,Standard / Non-Godly,,1,Common,1,20,Weapon,Two-Hand Weapon,Battleaxe,None,Slow,8,12,0,0,2,Resonance,Command Point Gain,Flux Charge Gain,Sylvan Warden,Aerial Juggle,Standard affix: modest Aerial Juggle bonus appropriate for level 1.,Monster Drop,Drops from level-1 Siphon-Ticks variants in Central Pillar; component: siphon glands.,The Central Pillar / Star-Elevator Core,Siphon-Ticks,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0031,Plain Subterranean Grid Cottonweave Den Greaves of Briar Binding,Standard / Non-Godly,,1,Common,1,15,Armor,Legs,Greaves,Light,,0,0,9,1,4,Altitude Charge Gain,Combo Decay Resistance,Kinetic Charge,Packmaster,Briar Binding,Standard affix: modest Briar Binding bonus appropriate for level 1.,Monster Drop,Drops from level-1 Grid-Rushers variants in Subterranean Grid; component: rush-core filaments.,The Subterranean Grid,Grid-Rushers,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0037,Plain Subterranean Grid Civic Iron Aether Magnetic Grapple Gauntlet of Evolution Charge,Standard / Non-Godly,,1,Common,1,20,Weapon,Arm Weapon,Magnetic Grapple Gauntlet,None,Fast,6,9,0,0,2,Armor Pierce,Command Point Gain,Focus,Flux-Caster,Evolution Charge,Standard affix: modest Evolution Charge bonus appropriate for level 1.,Monster Drop,Drops from level-1 Scrap-Phalanx variants in Subterranean Grid; component: phalanx shield scrap.,The Subterranean Grid,Scrap-Phalanx,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0042,Plain Provisioning Sectors Cloudhook Brass Orbital Legwraps of Sonic Reverb,Standard / Non-Godly,,1,Common,1,15,Armor,Legs,Legwraps,Light,,0,0,7,0,4,Threat Control,Combo Decay Resistance,Shield Break,Orbital Striker,Sonic Reverb,Standard affix: modest Sonic Reverb bonus appropriate for level 1.,Monster Drop,Drops from level-1 Siphon-Ticks variants in Provisioning Sectors; component: siphon glands.,The Provisioning Sectors,Siphon-Ticks,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0047,Plain Zenith Spire Cottonweave Thermal Scrap Cannon of Flow Retention,Standard / Non-Godly,,1,Common,1,18,Weapon,Heavy Ranged,Scrap Cannon,None,Slow,8,12,0,0,2,Fortitude,Protocol Rating,Altitude Charge Gain,Flux-Caster,Flow Retention,Standard affix: modest Flow Retention bonus appropriate for level 1.,Monster Drop,Drops from level-1 Grid-Rushers variants in Zenith Spire; component: rush-core filaments.,The Zenith Spire,Grid-Rushers,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
