quest_id,quest_number,quest_title,act,recommended_level,quest_type,primary_location,monster_tier,allowed_monsters,max_normal_monster_level,subquest_1_xp,subquest_2_xp,subquest_3_xp,subquest_4_xp,subquest_5_xp,subquest_6_xp,quest_completion_xp,quest_story_xp_total,boss_encounter_xp_separate,milestone_boss,reward_name,reward_type,rarity,item_power,min_level,consumables_materials,reward_note,story_unlock_from_original_outline
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,Starfall Plaza,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,35,105,0,,Meridian Reputation Writ + Evidence Cache,Reputation / Utility,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,Lower Gearworks,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,40,110,0,,Meridian Field-Survival Cache,Consumable + Utility Cache,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard",Sustains difficult play without replacing gear progression.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,Cloudhook Docks,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,45,115,0,,Meridian Field-Survival Cache,Consumable + Utility Cache,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard",Sustains difficult play without replacing gear progression.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,The Broken Lift,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,35,105,0,,Meridian Wayfinder Supply Cache,General Reward Cache,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard",Standard story reward; intentionally modest XP and power.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,Archive of First Light,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,40,110,0,,Meridian Gloves Armor Piece,Armor Piece,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard",Single armor piece; set bonuses require several story and crafting inputs.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,The Embermarket,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,30,100,0,,Meridian Reputation Writ + Evidence Cache,Reputation / Utility,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,Crown Battery,Early Game,The Grid-Rushers,2,10,10,10,10,15,15,35,105,0,,Meridian Wayfinder Supply Cache,General Reward Cache,Common,92,1,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 4x Cracked Aether Shard",Standard story reward; intentionally modest XP and power.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,Starfall Plaza,Early Game,"The Grid-Rushers, The Gnarl-Maws",3,15,15,15,15,20,20,75,175,0,,Meridian Delver Cache: Gloves or Weapon-Mod Choice,Dungeon Gear Choice Cache,Common,111,2,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Choice cache supports armor catch-up without providing a full weapon jump.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,Lower Gearworks,Early Game,"The Grid-Rushers, The Gnarl-Maws",3,15,15,15,15,15,20,80,175,0,,Meridian Elite Spoils Cache: Gloves Pattern,Elite Gear Pattern,Common,114,2,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Local boss reward; power capped to quest level to avoid overgearing.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,Cloudhook Docks,Early Game,"The Grid-Rushers, The Gnarl-Maws",3,15,15,15,15,20,20,50,150,0,,Meridian Class Weapon Calibration Kit,Weapon Upgrade Component,Common,104,2,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Upgrades the active class weapon one bracket if the player already meets the level gate.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,The Broken Lift,Early Game,"The Grid-Rushers, The Gnarl-Maws",3,15,15,15,15,20,20,70,170,0,,Meridian Wayfinder Supply Cache,General Reward Cache,Common,109,2,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Standard story reward; intentionally modest XP and power.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,Archive of First Light,Early Game,"The Grid-Rushers, The Gnarl-Maws",3,15,15,15,15,20,20,55,155,0,,Meridian Field-Survival Cache,Consumable + Utility Cache,Common,104,2,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Sustains difficult play without replacing gear progression.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,The Embermarket,Early Game,"The Grid-Rushers, The Gnarl-Maws",3,15,15,15,15,20,20,50,150,0,,Meridian Wayfinder Supply Cache,General Reward Cache,Common,104,2,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Standard story reward; intentionally modest XP and power.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,Crown Battery,Early Game,"The Grid-Rushers, The Gnarl-Maws",4,20,20,25,25,25,30,85,230,0,,Meridian Technical Cache: Cracked Aether Shard Bundle,Crafting / Upgrade Materials,Common,116,3,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Supports upgrades but requires additional farmed materials.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,Starfall Plaza,Early Game,"The Grid-Rushers, The Gnarl-Maws",4,20,20,25,25,25,30,85,230,0,,Meridian Helm Armor Piece,Armor Piece,Common,116,3,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Single armor piece; set bonuses require several story and crafting inputs.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,Lower Gearworks,Early Game,"The Grid-Rushers, The Gnarl-Maws",4,20,20,25,25,25,35,70,220,0,,Meridian Reputation Writ + Evidence Cache,Reputation / Utility,Common,116,3,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
