item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0628,Prismatic Molten Forge Greenfire Grav-Lift Chestplate of Vine Pull,Standard / Non-Godly,,13,Very Rare,4,133,Armor,Chest,Chestplate,Heavy,,0,0,128,21,37,Aether,Stagger Damage,Resonance,Orbital Striker,Vine Pull,Very Rare affix: improved Vine Pull stat budget and one utility roll.,Special Event Drop,No-XP special-event loot from empowered Gnarl-Maws variants in Molten Forge.,The Molten Forge,Gnarl-Maws,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 13 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0649,Supercharged Sonic Badlands Null-Iron Ratchet Helm of Hound Latch,Standard / Non-Godly,,13,Super,5,162,Armor,Head,Helm,Medium,,0,0,75,12,45,Focus,Flux Charge Gain,Focus,Scrap-Tek,Hound Latch,Super affix: minor Hound Latch trigger after a perfect parry or vault.,Special Event Drop,No-XP special-event loot from empowered Venom-Spitter variants in Sonic Badlands.,The Sonic Badlands,Venom-Spitter,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 13 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0675,Prismatic Sonic Badlands Greenfire Pack Briar Bow of Vine Pull,Standard / Non-Godly,,14,Very Rare,4,146,Weapon,Ranged Weapon,Briar Bow,None,Medium,46,74,0,0,18,Protocol Rating,Might,Stagger Damage,Packmaster,Vine Pull,Very Rare affix: improved Vine Pull stat budget and one utility roll.,Special Event Drop,No-XP special-event loot from empowered Gnarl-Maws variants in Sonic Badlands.,The Sonic Badlands,Gnarl-Maws,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 14 weapon tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0728,Prismatic Wayfora Archipelago Pressure-Sealed Sylvan Mask of Projectile Reversal,Standard / Non-Godly,,15,Very Rare,4,153,Armor,Head,Mask,Medium,,0,0,57,9,43,Shield Break,Combo Decay Resistance,Threat Control,Sylvan Warden,Projectile Reversal,Very Rare affix: improved Projectile Reversal stat budget and one utility roll.,Special Event Drop,No-XP special-event loot from empowered Tremor-Fiend variants in Wayfora Archipelago.,The Wayfora Archipelago,Tremor-Fiend,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 15 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0749,Supercharged Playa of Ash Leviathan Pearl Flux Cape of Briar Binding,Standard / Non-Godly,,15,Super,5,173,Armor,Back,Cape,Light,,0,0,45,7,48,Armor Pierce,Shield Break,Cooldown Recovery,Flux-Caster,Briar Binding,Super affix: minor Briar Binding trigger after a perfect parry or vault.,Special Event Drop,No-XP special-event loot from empowered Aegis Carapace variants in Playa of Ash.,The Playa of Ash,Aegis Carapace,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 15 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0828,Prismatic Abyssal Trench Moon-Silver Tempo Aegis Shield of Dream Memory,Standard / Non-Godly,,17,Very Rare,4,172,Armor,Shield,Aegis Shield,Heavy,,0,0,128,21,48,Command Point Gain,Agility,Stagger Damage,Resonant,Dream Memory,Very Rare affix: improved Dream Memory stat budget and one utility roll.,Special Event Drop,No-XP special-event loot from empowered Iron-Jaw Hound variants in Abyssal Trench.,The Abyssal Trench,Iron-Jaw Hound,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 17 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0854,Supercharged Sector 6 Quarantine Sapglass Red-Pen Coat of Hound Latch,Standard / Non-Godly,,18,Super,5,210,Armor,Chest,Coat,Heavy,,0,0,137,22,59,Critical Chance,Altitude Charge Gain,Kinetic Charge,Protocol Weaver,Hound Latch,Super affix: minor Hound Latch trigger after a perfect parry or vault.,Special Event Drop,No-XP special-event loot from empowered Grid-Rushers variants in Sector 6 Quarantine.,Sector 6 Quarantine,Grid-Rushers,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 18 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0875,Prismatic Abyssal Trench Moon-Silver Mutagen Mask of Dream Memory,Standard / Non-Godly,,18,Very Rare,4,182,Armor,Head,Mask,Medium,,0,0,68,11,51,Flux Charge Gain,Evolution Point Gain,Aether,Apex Mutator,Dream Memory,Very Rare affix: improved Dream Memory stat budget and one utility roll.,Special Event Drop,No-XP special-event loot from empowered Iron-Jaw Hound variants in Abyssal Trench.,The Abyssal Trench,Iron-Jaw Hound,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 18 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0928,Prismatic Abyssal Trench Mirror-Glass Asteroid Protocol Blade of Critical Timing,Standard / Non-Godly,,19,Very Rare,4,196,Weapon,Main Hand,Protocol Blade,None,Medium,64,101,0,0,24,Agility,Resonance,Command Point Gain,Kinetic Juggernaut,Critical Timing,Very Rare affix: improved Critical Timing stat budget and one utility roll.,Special Event Drop,No-XP special-event loot from empowered Siphon-Ticks variants in Abyssal Trench.,The Abyssal Trench,Siphon-Ticks,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 19 weapon tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0970,Supercharged Anomaly Ward Null-Iron EPI Bracers of Flow Retention,Standard / Non-Godly,,20,Super,5,231,Armor,Wrists,Bracers,Medium,,0,0,79,13,65,Might,Focus,Fortitude,Protocol Weaver,Flow Retention,Super affix: minor Flow Retention trigger after a perfect parry or vault.,Special Event Drop,No-XP special-event loot from empowered Venom-Spitter variants in Anomaly Ward.,The Anomaly Ward,Venom-Spitter,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 20 armor tuned for mid band enemies; source never requires fighting above the item level.
