quest_id,quest_number,quest_title,act,recommended_level,quest_type,original_primary_location,required_world_map_location,map_category,location_min_level,difficulty_band,required_primary_sublocation,secondary_sublocations,subquest_area_path,map_coverage_purpose,enemy_gate,gating_status
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,Starfall Plaza,The Urban Sprawl,Central Hub,1,Early,Spire-Foot Transit Plaza,Lower Civic Ring | Collapsed Skywalk Lanes | Alliance Muster Square,Spire-Foot Transit Plaza > Lower Civic Ring > Collapsed Skywalk Lanes > Alliance Muster Square > Starfall Plaza > The Urban Sprawl exit / hub-state update,Primary onboarding hub and late-game civic return point,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,Lower Gearworks,The Zenith Spire,Central Hub / Vertical Spine,1,Early-to-Endgame,Glass Lobby Atrium,Executive Lift Shafts | Atmospheric Observation Deck | Star-Elevator Spine,Glass Lobby Atrium > Executive Lift Shafts > Atmospheric Observation Deck > Star-Elevator Spine > Lower Gearworks > The Zenith Spire exit / hub-state update,Dead-center vertical megastructure and route to orbital content,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,Cloudhook Docks,The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,Aether Counterweight Hall,Broken Ventilation Spine | Gravity Cable Junction | World-Pillar Maintenance Ring,Aether Counterweight Hall > Broken Ventilation Spine > Gravity Cable Junction > World-Pillar Maintenance Ring > Cloudhook Docks > The Central Pillar / Star-Elevator Core exit / hub-state update,"Planetary vertical axis tying surface, underworld, and exosphere routes together","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,The Broken Lift,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Neon Rail Concourse,Express-Line Switchroom | Dead Platform Twelve | Train-Hazard Arena,Neon Rail Concourse > Express-Line Switchroom > Dead Platform Twelve > Train-Hazard Arena > The Broken Lift > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,Archive of First Light,The Urban Sprawl,Central Hub,1,Early,Lower Civic Ring,Collapsed Skywalk Lanes | Alliance Muster Square | Old Wayfinder Stairs,Lower Civic Ring > Collapsed Skywalk Lanes > Alliance Muster Square > Old Wayfinder Stairs > Archive of First Light > The Urban Sprawl exit / hub-state update,Primary onboarding hub and late-game civic return point,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,The Embermarket,The Zenith Spire,Central Hub / Vertical Spine,1,Early-to-Endgame,Executive Lift Shafts,Atmospheric Observation Deck | Star-Elevator Spine | Oligarch Glass Suite,Executive Lift Shafts > Atmospheric Observation Deck > Star-Elevator Spine > Oligarch Glass Suite > The Embermarket > The Zenith Spire exit / hub-state update,Dead-center vertical megastructure and route to orbital content,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,Crown Battery,The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,Broken Ventilation Spine,Gravity Cable Junction | World-Pillar Maintenance Ring | Dawnforge Descent Gate,Broken Ventilation Spine > Gravity Cable Junction > World-Pillar Maintenance Ring > Dawnforge Descent Gate > Crown Battery > The Central Pillar / Star-Elevator Core exit / hub-state update,"Planetary vertical axis tying surface, underworld, and exosphere routes together","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,Starfall Plaza,The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,Gravity Cable Junction,World-Pillar Maintenance Ring | Dawnforge Descent Gate | Aether Counterweight Hall,Gravity Cable Junction > World-Pillar Maintenance Ring > Dawnforge Descent Gate > Aether Counterweight Hall > Starfall Plaza > The Central Pillar / Star-Elevator Core exit / hub-state update,"Planetary vertical axis tying surface, underworld, and exosphere routes together","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,Lower Gearworks,The Urban Sprawl,Central Hub,1,Early,Collapsed Skywalk Lanes,Alliance Muster Square | Old Wayfinder Stairs | Spire-Foot Transit Plaza,Collapsed Skywalk Lanes > Alliance Muster Square > Old Wayfinder Stairs > Spire-Foot Transit Plaza > Lower Gearworks > The Urban Sprawl exit / hub-state update,Primary onboarding hub and late-game civic return point,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,Cloudhook Docks,The Zenith Spire,Central Hub / Vertical Spine,1,Early-to-Endgame,Atmospheric Observation Deck,Star-Elevator Spine | Oligarch Glass Suite | Glass Lobby Atrium,Atmospheric Observation Deck > Star-Elevator Spine > Oligarch Glass Suite > Glass Lobby Atrium > Cloudhook Docks > The Zenith Spire exit / hub-state update,Dead-center vertical megastructure and route to orbital content,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
