item_id,quest_id,item_name,rarity,required_level,class,class_code,slot,set_name,unique_rule,effect,visual_theme
GOD-SW-PROTOCOL_WEAVER-01,SW-PG-001,Revision Crown of the Open Sky,Godly,40,Protocol Weaver,PROTOCOL_WEAVER,Crown,Sky Warden Ascendant — Protocol Weaver,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: rewrites hostile states; improves syntax by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Protocol Weaver.,"Sky-metal, dawn-gold filigree, luminous aether vents, and revision motifs"
GOD-SW-APEX_MUTATOR-01,SW-PG-002,Ascendant Genome Crown of the Open Sky,Godly,40,Apex Mutator,APEX_MUTATOR,Crown,Sky Warden Ascendant — Apex Mutator,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: stabilizes Omega-form aggression; improves recursive evolution by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Apex Mutator.,"Sky-metal, dawn-gold filigree, luminous aether vents, and ascendant genome motifs"
GOD-SW-RESONANT-01,SW-PG-003,Festival Thunder Crown of the Open Sky,Godly,40,Resonant,RESONANT,Crown,Sky Warden Ascendant — Resonant,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: turns perfect beats into shockwaves; improves sub-bass timing by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Resonant.,"Sky-metal, dawn-gold filigree, luminous aether vents, and festival thunder motifs"
GOD-SW-PACKMASTER-01,SW-PG-004,Twin Oath Crown of the Open Sky,Godly,40,Packmaster,PACKMASTER,Crown,Sky Warden Ascendant — Packmaster,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: links wearer and companion through hard-light signals; improves pack command by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Packmaster.,"Sky-metal, dawn-gold filigree, luminous aether vents, and twin oath motifs"
GOD-SW-ORBITAL_STRIKER-01,SW-PG-005,Exosphere Crown of the Open Sky,Godly,40,Orbital Striker,ORBITAL_STRIKER,Crown,Sky Warden Ascendant — Orbital Striker,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: stores aerial hang-time as kinetic damage; improves zero-G momentum by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Orbital Striker.,"Sky-metal, dawn-gold filigree, luminous aether vents, and exosphere motifs"
GOD-SW-SCRAP_TEK-01,SW-PG-006,Junkyard Crown Crown of the Open Sky,Godly,40,Scrap-Tek,SCRAP_TEK,Crown,Sky Warden Ascendant — Scrap-Tek,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: converts scrap into shields and turret uptime; improves magnetic harvest by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Scrap-Tek.,"Sky-metal, dawn-gold filigree, luminous aether vents, and junkyard crown motifs"
GOD-SW-KINETIC_JUGGERNAUT-01,SW-PG-007,Asteroid Plate Crown of the Open Sky,Godly,40,Kinetic Juggernaut,KINETIC_JUGGERNAUT,Crown,Sky Warden Ascendant — Kinetic Juggernaut,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: turns perfect guard into crushing retaliation; improves kinetic absorption by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Kinetic Juggernaut.,"Sky-metal, dawn-gold filigree, luminous aether vents, and asteroid plate motifs"
GOD-SW-PHANTOM_SHIFT-01,SW-PG-008,Reality Shard Crown of the Open Sky,Godly,40,Phantom-Shift,PHANTOM_SHIFT,Crown,Sky Warden Ascendant — Phantom-Shift,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: multiplies afterimage pressure; improves temporal stutter by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Phantom-Shift.,"Sky-metal, dawn-gold filigree, luminous aether vents, and reality shard motifs"
GOD-SW-SYLVAN_WARDEN-01,SW-PG-009,Worldroot Crown of the Open Sky,Godly,40,Sylvan Warden,SYLVAN_WARDEN,Crown,Sky Warden Ascendant — Sylvan Warden,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: spreads damage through linked enemies; improves living tether by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Sylvan Warden.,"Sky-metal, dawn-gold filigree, luminous aether vents, and worldroot motifs"
GOD-SW-FLUX_CASTER-01,SW-PG-010,Thermal Halo Crown of the Open Sky,Godly,40,Flux-Caster,FLUX_CASTER,Crown,Sky Warden Ascendant — Flux-Caster,"Unique, bind-on-acquire, non-tradable, postgame-only",Godly class effect: amplifies fire/ice stance detonations; improves elemental reaction by rewarding clean combo flow after the post-Astral Sovereign clear. Counts toward the 10-piece Sky Warden Ascendant set for Flux-Caster.,"Sky-metal, dawn-gold filigree, luminous aether vents, and thermal halo motifs"
