rank,title,authority,generated_member_count
1,Aerie Initiate,trainee / oathbound recruit,8
2,Windward Scout,field reconnaissance and courier authority,7
3,Skyrigger,"ship maintenance, dock operations, light boarding duty",6
4,Cloudblade,frontline sky-infantry and boarding assault,6
5,Stormguard,elite ship security and convoy protection,5
6,Aetherwright,"arcane engineering, ship-core repair, ward calibration",5
7,Sky Marshal,regional command of multiple wings,4
8,Wing Commander,"armada command, strike doctrine, emergency law",4
9,High Warden,strategic command and diplomatic wartime authority,3
10,Sky Warden Prime,highest active non-founder command rank,2
11,Founder,reserved historical rank; empty seat; not represented as a member model in this pack,0
