item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0003,Plain Zenith Spire Ash-Tanned Scavenger Cape of Starwell Sync,Standard / Non-Godly,,1,Common,1,14,Armor,Back,Cape,Light,,0,0,4,0,4,Fortitude,Protocol Rating,Altitude Charge Gain,Scrap-Tek,Starwell Sync,Standard affix: modest Starwell Sync bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Zenith Spire,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0004,Plain Provisioning Sectors Gridglass Counterweight Chestplate of Vine Pull,Standard / Non-Godly,,1,Common,1,16,Armor,Chest,Chestplate,Light,,0,0,15,1,4,Resonance,Command Point Gain,Flux Charge Gain,Kinetic Juggernaut,Vine Pull,Standard affix: modest Vine Pull bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Provisioning Sectors,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0009,Plain Zenith Spire Wirehide Mutagen Bracers of Combo Grace,Standard / Non-Godly,,1,Common,1,15,Armor,Wrists,Bracers,Light,,0,0,5,0,4,Altitude Charge Gain,Combo Decay Resistance,Kinetic Charge,Apex Mutator,Combo Grace,Standard affix: modest Combo Grace bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Zenith Spire,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0014,Plain Central Pillar Aether-Wood Kinetic Aegis Shield of Low-Gravity Lift,Standard / Non-Godly,,1,Common,1,14,Armor,Shield,Aegis Shield,Light,,0,0,10,1,4,Stagger Damage,Protocol Rating,Threat Control,Kinetic Juggernaut,Low-Gravity Lift,Standard affix: modest Low-Gravity Lift bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Central Pillar / Star-Elevator Core,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0019,Plain Subterranean Grid Ash-Tanned Omega Pauldrons of Phase-Step,Standard / Non-Godly,,1,Common,1,24,Armor,Shoulders,Pauldrons,Light,,0,0,14,1,7,Perfect Parry Window,Shield Break,Critical Chance,Apex Mutator,Phase-Step,Standard affix: modest Phase-Step bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Subterranean Grid,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0020,Plain Central Pillar Gridglass Acoustic Belt of Dawnforge Resolve,Standard / Non-Godly,,1,Common,1,15,Armor,Waist,Belt,Light,,0,0,5,0,4,Threat Control,Combo Decay Resistance,Shield Break,Resonant,Dawnforge Resolve,Standard affix: modest Dawnforge Resolve bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Central Pillar / Star-Elevator Core,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0024,Plain Urban Sprawl Tinplate Guard Legwraps of Null Ward,Standard / Non-Godly,,1,Common,1,23,Armor,Legs,Legwraps,Light,,0,0,10,1,6,Aether,Resonance,Protocol Rating,Kinetic Juggernaut,Null Ward,Standard affix: modest Null Ward bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Urban Sprawl,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0025,Plain Central Pillar Wirehide Chrono Glaive of Hound Latch,Standard / Non-Godly,,1,Common,1,18,Weapon,Two-Hand Weapon,Glaive,None,Medium,7,10,0,0,2,Fortitude,Protocol Rating,Altitude Charge Gain,Phantom-Shift,Hound Latch,Standard affix: modest Hound Latch bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Central Pillar / Star-Elevator Core,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0030,Plain Urban Sprawl Aether-Wood Reverb Mantle of Armor Sunder,Standard / Non-Godly,,1,Common,1,24,Armor,Shoulders,Mantle,Light,,0,0,10,1,7,Command Point Gain,Shield Break,Aether,Resonant,Armor Sunder,Standard affix: modest Armor Sunder bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Urban Sprawl,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0035,Plain Zenith Spire Ash-Tanned Phantom Tuning-Fork Blade of Thermal Shock,Standard / Non-Godly,,1,Common,1,27,Weapon,Main Hand,Tuning-Fork Blade,None,Medium,9,14,0,0,3,Critical Chance,Resonance,Cooldown Recovery,Phantom-Shift,Thermal Shock,Standard affix: modest Thermal Shock bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Zenith Spire,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
