item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0002,Plain Zenith Spire Cloudhook Brass Exosphere Belt of Afterimage Echo,Standard / Non-Godly,,1,Common,1,23,Armor,Waist,Belt,Light,,0,0,7,0,6,Aether,Resonance,Protocol Rating,Orbital Striker,Afterimage Echo,Standard affix: modest Afterimage Echo bonus appropriate for level 1.,Quest Reward,Reward option from Q018 — The Silent Bell Tower in The Zenith Spire.,The Zenith Spire,Q018,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0007,Plain Central Pillar Cottonweave Flux Scrap Cannon of Evolution Charge,Standard / Non-Godly,,1,Common,1,26,Weapon,Heavy Ranged,Scrap Cannon,None,Slow,11,17,0,0,3,Evolution Point Gain,Stagger Damage,Might,Flux-Caster,Evolution Charge,Standard affix: modest Evolution Charge bonus appropriate for level 1.,Quest Reward,Reward option from Q015 — Refugees at the Crown Battery in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q015,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0018,Plain Subterranean Grid Cloudhook Brass Lexicon Battleaxe of Siphon Guard,Standard / Non-Godly,,1,Common,1,26,Weapon,Two-Hand Weapon,Battleaxe,None,Slow,11,16,0,0,3,Combo Decay Resistance,Stagger Damage,Scrap Charge Gain,Protocol Weaver,Siphon Guard,Standard affix: modest Siphon Guard bonus appropriate for level 1.,Quest Reward,Reward option from Q016 — Three Locks of First Light in The Subterranean Grid.,The Subterranean Grid,Q016,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0023,Plain Provisioning Sectors Cottonweave EMP Gauntlets of Tempo Control,Standard / Non-Godly,,1,Common,1,21,Armor,Hands,Gauntlets,Light,,0,0,10,1,6,Focus,Aether,Fortitude,Scrap-Tek,Tempo Control,Standard affix: modest Tempo Control bonus appropriate for level 1.,Quest Reward,Reward option from Q013 — The Broken Lift Descent in The Provisioning Sectors.,The Provisioning Sectors,Q013,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0028,Plain Zenith Spire Gridglass Protocol Rail Rifle of Leviathan Pressure,Standard / Non-Godly,,1,Common,1,24,Weapon,Ranged Weapon,Rail Rifle,None,Slow,10,15,0,0,3,Protocol Rating,Flux Charge Gain,Combo Decay Resistance,Protocol Weaver,Leviathan Pressure,Standard affix: modest Leviathan Pressure bonus appropriate for level 1.,Quest Reward,Reward option from Q010 — A Pact with the Skywrights in The Zenith Spire.,The Zenith Spire,Q010,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0039,Plain Central Pillar Cottonweave Chimera Cape of Combo Grace,Standard / Non-Godly,,1,Common,1,20,Armor,Back,Cape,Light,,0,0,5,0,6,Cooldown Recovery,Flux Charge Gain,Evolution Point Gain,Apex Mutator,Combo Grace,Standard affix: modest Combo Grace bonus appropriate for level 1.,Quest Reward,Reward option from Q011 — The Child Who Heard the Starwell in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q011,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0044,Plain Central Pillar Gridglass Asteroid Exo-Rig of Low-Gravity Lift,Standard / Non-Godly,,1,Common,1,19,Armor,Chest,Exo-Rig,Light,,0,0,15,1,5,Agility,Agility,Agility,Kinetic Juggernaut,Low-Gravity Lift,Standard affix: modest Low-Gravity Lift bonus appropriate for level 1.,Quest Reward,Reward option from Q008 — Embermarket Blackout in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q008,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0049,Plain Urban Sprawl Wirehide Apex Greaves of Phase-Step,Standard / Non-Godly,,1,Common,1,18,Armor,Legs,Greaves,Light,,0,0,11,1,5,Kinetic Charge,Scrap Charge Gain,Armor Pierce,Apex Mutator,Phase-Step,Standard affix: modest Phase-Step bonus appropriate for level 1.,Quest Reward,Reward option from Q005 — A Core That Should Be Dead in The Urban Sprawl.,The Urban Sprawl,Q005,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0053,Tuned Central Pillar Aether-Wood Phantom Cloak of Hydraulic Burst,Standard / Non-Godly,,2,Uncommon,2,29,Armor,Back,Cloak,Light,,0,0,8,1,8,Scrap Charge Gain,Perfect Parry Window,Protocol Rating,Phantom-Shift,Hydraulic Burst,Standard affix: modest Hydraulic Burst bonus appropriate for level 2.,Quest Reward,Reward option from Q003 — The Courier with No Shadow in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q003,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0058,Tuned Provisioning Sectors Ash-Tanned Tuning Coat of Mirror Deflection,Standard / Non-Godly,,2,Uncommon,2,28,Armor,Chest,Coat,Light,,0,0,18,1,8,Armor Pierce,Evolution Point Gain,Might,Resonant,Mirror Deflection,Standard affix: modest Mirror Deflection bonus appropriate for level 2.,Quest Reward,Reward option from Q013 — The Broken Lift Descent in The Provisioning Sectors.,The Provisioning Sectors,Q013,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0064,Tuned Urban Sprawl Wirehide Briar Twin Daggers of Flow Retention,Standard / Non-Godly,,2,Uncommon,2,33,Weapon,Dual Weapon,Twin Daggers,None,Very Fast,9,13,0,0,4,Might,Perfect Parry Window,Cooldown Recovery,Sylvan Warden,Flow Retention,Standard affix: modest Flow Retention bonus appropriate for level 2.,Quest Reward,Reward option from Q005 — A Core That Should Be Dead in The Urban Sprawl.,The Urban Sprawl,Q005,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0070,Plain Raid-Rush Choke Points Cottonweave Tether Bracers of Tempo Control,Standard / Non-Godly,,2,Common,1,28,Armor,Wrists,Bracers,Light,,0,0,10,1,8,Kinetic Charge,Altitude Charge Gain,Critical Chance,Orbital Striker,Tempo Control,Standard affix: modest Tempo Control bonus appropriate for level 2.,Quest Reward,Reward option from Q022 — Duel on the Elevator Spine in The Raid-Rush Choke Points.,The Raid-Rush Choke Points,Q022,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0076,Plain Raid-Rush Choke Points Civic Iron Red-Pen Pulse Pistols of Sevenfold Counter,Standard / Non-Godly,,2,Common,1,33,Weapon,Dual Ranged,Pulse Pistols,None,Fast,9,14,0,0,4,Verdant Point Gain,Might,Altitude Charge Gain,Protocol Weaver,Sevenfold Counter,Standard affix: modest Sevenfold Counter bonus appropriate for level 2.,Quest Reward,Reward option from Q014 — Sable Veyr’s Calling Card in The Raid-Rush Choke Points.,The Raid-Rush Choke Points,Q014,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0081,Plain Micro-Transaction Markets Cloudhook Brass Scrap Belt of Vine Pull,Standard / Non-Godly,,2,Common,1,28,Armor,Waist,Belt,Light,,0,0,9,1,8,Shield Break,Altitude Charge Gain,Aether,Scrap-Tek,Vine Pull,Standard affix: modest Vine Pull bonus appropriate for level 2.,Quest Reward,Reward option from Q024 — Reignite the Crown Battery in The Micro-Transaction Markets.,The Micro-Transaction Markets,Q024,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0086,Plain Urban Sprawl Cottonweave EPI Void Chakrams of Combo Grace,Standard / Non-Godly,,2,Common,1,31,Weapon,Thrown Weapon,Void Chakrams,None,Fast,9,14,0,0,4,Might,Perfect Parry Window,Cooldown Recovery,Protocol Weaver,Combo Grace,Standard affix: modest Combo Grace bonus appropriate for level 2.,Quest Reward,Reward option from Q009 — Saboteurs Below the Lift in The Urban Sprawl.,The Urban Sprawl,Q009,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0091,Plain Central Pillar Gridglass Scavenger Mantle of Low-Gravity Lift,Standard / Non-Godly,,2,Common,1,26,Armor,Shoulders,Mantle,Light,,0,0,11,1,7,Resonance,Evolution Point Gain,Scrap Charge Gain,Scrap-Tek,Low-Gravity Lift,Standard affix: modest Low-Gravity Lift bonus appropriate for level 2.,Quest Reward,Reward option from Q019 — The Aether Core Awakens in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q019,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0097,Plain Central Pillar Cloudhook Brass Mutagen Gravity Lance of Dawnforge Resolve,Standard / Non-Godly,,2,Common,1,31,Weapon,Two-Hand Weapon,Gravity Lance,None,Medium,12,17,0,0,4,Scrap Charge Gain,Perfect Parry Window,Protocol Rating,Apex Mutator,Dawnforge Resolve,Standard affix: modest Dawnforge Resolve bonus appropriate for level 2.,Quest Reward,Reward option from Q011 — The Child Who Heard the Starwell in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q011,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0102,Plain Subterranean Grid Tinplate Ironbark Gloves of Scrap Magnetism,Standard / Non-Godly,,3,Common,1,38,Armor,Hands,Gloves,Light,,0,0,13,1,11,Shield Break,Command Point Gain,Agility,Sylvan Warden,Scrap Magnetism,Standard affix: modest Scrap Magnetism bonus appropriate for level 3.,Quest Reward,Reward option from Q020 — Trial of the Meridian Guard in The Subterranean Grid.,The Subterranean Grid,Q020,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 3 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0107,Plain On-Demand Arteries Civic Iron K-0NG Cape of Vault Momentum,Standard / Non-Godly,,3,Common,1,37,Armor,Back,Cape,Light,,0,0,10,1,10,Might,Combo Decay Resistance,Armor Pierce,Packmaster,Vault Momentum,Standard affix: modest Vault Momentum bonus appropriate for level 3.,Quest Reward,Reward option from Q023 — The Veiled Hand Revealed in The On-Demand Arteries.,The On-Demand Arteries,Q023,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 3 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0118,Plain Subterranean Grid Tinplate Altitude Aegis Shield of Null Ward,Standard / Non-Godly,,3,Common,1,37,Armor,Shield,Aegis Shield,Light,,0,0,28,2,10,Scrap Charge Gain,Combo Decay Resistance,Resonance,Orbital Striker,Null Ward,Standard affix: modest Null Ward bonus appropriate for level 3.,Quest Reward,Reward option from Q004 — Hold the Cloudhook Docks in The Subterranean Grid.,The Subterranean Grid,Q004,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 3 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0123,Plain Central Pillar Civic Iron Crucible Aether Focus of Sevenfold Counter,Standard / Non-Godly,,3,Common,1,40,Weapon,Off Hand Focus,Aether Focus,None,Medium,10,14,0,0,5,Armor Pierce,Protocol Rating,Perfect Parry Window,Flux-Caster,Sevenfold Counter,Standard affix: modest Sevenfold Counter bonus appropriate for level 3.,Quest Reward,Reward option from Q007 — The Warden’s Missing Watch in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q007,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 3 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0128,Plain Zenith Spire Cloudhook Brass Thruster Legwraps of Vine Pull,Standard / Non-Godly,,3,Common,1,35,Armor,Legs,Legwraps,Light,,0,0,15,1,10,Threat Control,Shield Break,Flux Charge Gain,Orbital Striker,Vine Pull,Standard affix: modest Vine Pull bonus appropriate for level 3.,Quest Reward,Reward option from Q010 — A Pact with the Skywrights in The Zenith Spire.,The Zenith Spire,Q010,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 3 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0137,Tuned Urban Sprawl Ash-Tanned Den Coat of Vault Momentum,Standard / Non-Godly,,3,Uncommon,2,34,Armor,Chest,Coat,Light,,0,0,22,1,10,Evolution Point Gain,Flux Charge Gain,Cooldown Recovery,Packmaster,Vault Momentum,Standard affix: modest Vault Momentum bonus appropriate for level 3.,Quest Reward,Reward option from Q009 — Saboteurs Below the Lift in The Urban Sprawl.,The Urban Sprawl,Q009,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 3 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0143,Tuned Central Pillar Wirehide Aether One-Hand Sword of Phase-Step,Standard / Non-Godly,,3,Uncommon,2,39,Weapon,Main Hand,One-Hand Sword,None,Medium,13,20,0,0,5,Critical Chance,Aether,Critical Chance,Flux-Caster,Phase-Step,Standard affix: modest Phase-Step bonus appropriate for level 3.,Quest Reward,Reward option from Q019 — The Aether Core Awakens in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q019,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 3 weapon tuned for early band enemies; source never requires fighting above the item level.
