event_id,event_title,world_map_location,sublocation,required_player_level,loot_item,loot_tier,item_slot,item_power,first_clear_reward,repeat_drop_rule,unique_perk,drop_chance_percent,xp_reward
SEV-001,Overcharged Incident: Spire-Foot Transit Plaza,The Urban Sprawl,Spire-Foot Transit Plaza,20,Spire-Foot Null Ring,Refined Relic,ring,540,Guaranteed first-clear: Spire-Foot Null Ring pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique ring; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Null Anomaly mechanics. Does not increase XP gain.",20,0
SEV-002,Bark-Crowned Incident: Lower Civic Ring,The Urban Sprawl,Lower Civic Ring,20,Lower Iron-Jaw Amulet,Refined Relic,amulet,547,Guaranteed first-clear: Lower Iron-Jaw Amulet pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique amulet; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20,0
SEV-003,Echo-Split Incident: Collapsed Skywalk Lanes,The Urban Sprawl,Collapsed Skywalk Lanes,20,Collapsed Venom-Spitter Main-Hand Weapon,Refined Relic,main-hand weapon,554,Guaranteed first-clear: Collapsed Venom-Spitter Main-Hand Weapon pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique main-hand weapon; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Venom-Spitter mechanics. Does not increase XP gain.",20,0
SEV-004,Null-Branded Incident: Alliance Muster Square,The Urban Sprawl,Alliance Muster Square,20,Alliance Tremor-Fiend Off-Hand Focus,Refined Relic,off-hand focus,561,Guaranteed first-clear: Alliance Tremor-Fiend Off-Hand Focus pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique off-hand focus; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Tremor-Fiend mechanics. Does not increase XP gain.",20,0
SEV-005,Rhythm-Warped Incident: Old Wayfinder Stairs,The Urban Sprawl,Old Wayfinder Stairs,20,Old Aegis Relic Core,Refined Relic,relic core,568,Guaranteed first-clear: Old Aegis Relic Core pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique relic core; pity token after 8 eligible clears.,"Unique Perk: while inside Urban-type arenas, gain a short defensive or traversal proc after countering Aegis Carapace mechanics. Does not increase XP gain.",20,0
SEV-006,Grav-Torn Incident: Glass Lobby Atrium,The Zenith Spire,Glass Lobby Atrium,20,Glass Iron-Jaw Class Mod,Refined Relic,class mod,540,Guaranteed first-clear: Glass Iron-Jaw Class Mod pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique class mod; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20,0
SEV-007,Phase-Bound Incident: Executive Lift Shafts,The Zenith Spire,Executive Lift Shafts,21,Executive Venom-Spitter Weapon Skin,Refined Relic,weapon skin,565,Guaranteed first-clear: Executive Venom-Spitter Weapon Skin pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique weapon skin; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Venom-Spitter mechanics. Does not increase XP gain.",20,0
SEV-008,Venom-Laced Incident: Atmospheric Observation Deck,The Zenith Spire,Atmospheric Observation Deck,21,Atmospheric Null Back Trophy,Refined Relic,back trophy,572,Guaranteed first-clear: Atmospheric Null Back Trophy pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique back trophy; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Null Anomaly mechanics. Does not increase XP gain.",20,0
SEV-009,Warden-Fused Incident: Star-Elevator Spine,The Zenith Spire,Star-Elevator Spine,21,Star-Elevator Battle-Tonic Schematic,Refined Relic,consumable schematic,579,Guaranteed first-clear: Star-Elevator Battle-Tonic Schematic pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique consumable schematic; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Aegis Carapace mechanics. Does not increase XP gain.",20,0
SEV-010,Sovereign-Touched Incident: Oligarch Glass Suite,The Zenith Spire,Oligarch Glass Suite,21,Oligarch Iron-Jaw Helmet,Refined Relic,helmet,586,Guaranteed first-clear: Oligarch Iron-Jaw Helmet pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique helmet; pity token after 8 eligible clears.,"Unique Perk: while inside Zenith-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20,0
SEV-011,Data-Forged Incident: Aether Counterweight Hall,The Central Pillar / Star-Elevator Core,Aether Counterweight Hall,21,Aether Venom-Spitter Chest Armor,Refined Relic,chest armor,558,Guaranteed first-clear: Aether Venom-Spitter Chest Armor pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique chest armor; pity token after 8 eligible clears.,"Unique Perk: while inside Central-type arenas, gain a short defensive or traversal proc after countering Venom-Spitter mechanics. Does not increase XP gain.",20,0
SEV-012,Ash-Baptized Incident: Broken Ventilation Spine,The Central Pillar / Star-Elevator Core,Broken Ventilation Spine,21,Broken Tremor-Fiend Gauntlets,Refined Relic,gauntlets,565,Guaranteed first-clear: Broken Tremor-Fiend Gauntlets pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique gauntlets; pity token after 8 eligible clears.,"Unique Perk: while inside Central-type arenas, gain a short defensive or traversal proc after countering Tremor-Fiend mechanics. Does not increase XP gain.",20,0
SEV-013,Tide-Broken Incident: Gravity Cable Junction,The Central Pillar / Star-Elevator Core,Gravity Cable Junction,21,Gravity Aegis Greaves,Refined Relic,greaves,572,Guaranteed first-clear: Gravity Aegis Greaves pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique greaves; pity token after 8 eligible clears.,"Unique Perk: while inside Central-type arenas, gain a short defensive or traversal proc after countering Aegis Carapace mechanics. Does not increase XP gain.",20,0
SEV-014,Magnetized Incident: World-Pillar Maintenance Ring,The Central Pillar / Star-Elevator Core,World-Pillar Maintenance Ring,21,World-Pillar Iron-Jaw Cloak,Refined Relic,cloak,579,Guaranteed first-clear: World-Pillar Iron-Jaw Cloak pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique cloak; pity token after 8 eligible clears.,"Unique Perk: while inside Central-type arenas, gain a short defensive or traversal proc after countering Iron-Jaw Hound mechanics. Does not increase XP gain.",20,0
SEV-015,Sonic-Scarred Incident: Dawnforge Descent Gate,The Central Pillar / Star-Elevator Core,Dawnforge Descent Gate,21,Dawnforge Null Ring,Refined Relic,ring,586,Guaranteed first-clear: Dawnforge Null Ring pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique ring; pity token after 8 eligible clears.,"Unique Perk: while inside Central-type arenas, gain a short defensive or traversal proc after countering Null Anomaly mechanics. Does not increase XP gain.",20,0
SEV-016,Glass-Hardened Incident: Neon Rail Concourse,The Subterranean Grid,Neon Rail Concourse,21,Neon Tremor-Fiend Amulet,Refined Relic,amulet,558,Guaranteed first-clear: Neon Tremor-Fiend Amulet pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique amulet; pity token after 8 eligible clears.,"Unique Perk: while inside Subterranean-type arenas, gain a short defensive or traversal proc after countering Tremor-Fiend mechanics. Does not increase XP gain.",20,0
SEV-017,Spore-Sick Incident: Express-Line Switchroom,The Subterranean Grid,Express-Line Switchroom,21,Express-Line Scrap-Phalanx Main-Hand Weapon,Refined Relic,main-hand weapon,565,Guaranteed first-clear: Express-Line Scrap-Phalanx Main-Hand Weapon pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique main-hand weapon; pity token after 8 eligible clears.,"Unique Perk: while inside Subterranean-type arenas, gain a short defensive or traversal proc after countering Scrap-Phalanx mechanics. Does not increase XP gain.",20,0
SEV-018,Eclipse-Synced Incident: Dead Platform Twelve,The Subterranean Grid,Dead Platform Twelve,22,Dead Aegis Relic Core,Refined Relic,relic core,590,Guaranteed first-clear: Dead Aegis Relic Core pattern token + Refined Relic crafting imprint.,Repeat clear: 20% chance for the unique relic core; pity token after 8 eligible clears.,"Unique Perk: while inside Subterranean-type arenas, gain a short defensive or traversal proc after countering Aegis Carapace mechanics. Does not increase XP gain.",20,0
