pack_number,zip,pack_name,class,subclass,specialization,ability,monster,boss,support_npc,weather,terrain,sun_variant,glb_modules,texture_png,audio_wav,config_docs,size_bytes
773,0773_packmaster_heel_heel_strike_combat_magic_upgrade_0773.zip,Packmaster Heel & Heel-Strike Combat Magic Upgrade 0773,Packmaster,Outward Hunter,Coordinated Assault,Heel & Heel-Strike,The Iron-Jaw Hound,The Null Anomaly,The Grand Archivist,snow squall,glass shard soundwave,eclipse violet rim,8,12,5,11,84371
774,0774_orbital_striker_thruster_parry_combat_magic_upgrade_0774.zip,Orbital Striker Thruster Parry Combat Magic Upgrade 0774,Orbital Striker,Orbital Bombardment,Frictionless Dash,Thruster Parry,The Nexus Swarmers,The Ivory Behemoth,Tidespeaker Nami,zero-g starstorm,root snare,storm green cast,8,12,5,11,86796
775,0775_scrap_tek_wrecking_ball_combat_magic_upgrade_0775.zip,Scrap-Tek Wrecking Ball Combat Magic Upgrade 0775,Scrap-Tek,Exo-Brawler,Sentry Defense,Wrecking Ball,The Sylvan Juggernaut,The Ascendant Colossus,Beastmaster Thorne,fog bank,starfield dust,molten red noon,8,12,5,11,94964
776,0776_kinetic_juggernaut_ground_zero_combat_magic_upgrade_0776.zip,Kinetic Juggernaut Ground Zero Combat Magic Upgrade 0776,Kinetic Juggernaut,Counter-Weight,The Stampede,Ground Zero,The Gnarl-Maws,The Resonant Behemoth,Director Vance,tidal surge,glass shard soundwave,deep-water cyan bloom,8,12,5,11,126558
777,0777_phantom_shift_time_dilation_aura_combat_magic_upgrade_0777.zip,Phantom-Shift Time-Dilation Aura Combat Magic Upgrade 0777,Phantom-Shift,Void-Walker,Time-Loop,Time-Dilation Aura,The Aegis Carapace,The Data-Forged Evolvarch,The Grand Archivist,clear dawn,root snare,archive white-gold,8,12,5,11,86809
778,0778_sylvan_warden_master_gardener_combat_magic_upgrade_0778.zip,Sylvan Warden Master Gardener Combat Magic Upgrade 0778,Sylvan Warden,Iron-Bark,Tectonic Roots,Master Gardener,The Tremor-Fiend,The Resonance Maestro,Tidespeaker Nami,amber dusk,starfield dust,void blacklight sun,8,12,5,11,127045
779,0779_flux_caster_frame_trap_decoy_combat_magic_upgrade_0779.zip,Flux-Caster Frame-Trap Decoy Combat Magic Upgrade 0779,Flux-Caster,Aether-Blade,Elemental Ward,Frame-Trap Decoy,The Scrap-Stalker,The Syndicate Lich,Beastmaster Thorne,acid rain,glass shard soundwave,festival magenta sun,8,12,5,11,108587
780,0780_protocol_weaver_system_override_combat_magic_upgrade_0780.zip,Protocol Weaver System Override Combat Magic Upgrade 0780,Protocol Weaver,Front-Matter Architect,Foundation Warding,System Override,The Grid-Rushers,The Apex Chimera,Director Vance,snow squall,root snare,cold blue sunrise,8,12,5,11,110980
781,0781_apex_mutator_the_anomaly_virus_combat_magic_upgrade_0781.zip,Apex Mutator The Anomaly Virus Combat Magic Upgrade 0781,Apex Mutator,Data-Code Deviant,Recursive Evolution,The Anomaly Virus,The Siphon-Ticks,The Astral Sovereign,The Grand Archivist,zero-g starstorm,starfield dust,golden sanctuary sun,8,12,5,11,126119
782,0782_resonant_sub_woofer_slam_combat_magic_upgrade_0782.zip,Resonant Sub-Woofer Slam Combat Magic Upgrade 0782,Resonant,Wakaan Mystic,Acoustic Shielding,Sub-Woofer Slam,The Venom-Spitter,The Null Anomaly,Tidespeaker Nami,fog bank,glass shard soundwave,ash-orange glare,8,12,5,11,108889
783,0783_packmaster_release_the_hound_combat_magic_upgrade_0783.zip,Packmaster Release the Hound Combat Magic Upgrade 0783,Packmaster,Hound-Rider,Territorial Divide,Release the Hound,Nexus Warden,The Ivory Behemoth,Beastmaster Thorne,tidal surge,root snare,eclipse violet rim,8,12,5,11,84146
784,0784_orbital_striker_stratosphere_slam_combat_magic_upgrade_0784.zip,Orbital Striker Stratosphere Slam Combat Magic Upgrade 0784,Orbital Striker,Zero-G Brawler,Repulsion Matrix,Stratosphere Slam,The Void Anomaly,The Ascendant Colossus,Director Vance,clear dawn,starfield dust,storm green cast,8,12,5,11,87243
785,0785_scrap_tek_junkyard_turret_combat_magic_upgrade_0785.zip,Scrap-Tek Junkyard Turret Combat Magic Upgrade 0785,Scrap-Tek,Scavenger,Overcharge,Junkyard Turret,The Scrap-Phalanx,The Resonant Behemoth,The Grand Archivist,amber dusk,glass shard soundwave,molten red noon,8,12,5,11,95179
