quest_id,quest_number,quest_title,act,recommended_level,quest_type,subquest_number,subquest_title,subquest_objective,subquest_xp,subquest_reward,monster_gate,allowed_monsters
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,1,Briefing & Suspicion,"Meet Captain Lyra Voss at Starfall Plaza, record the reported anomaly, and mark three contradictions in the official account.",10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,2,Scene Sweep,"Inspect Cloudhook Docks for physical traces, corrupted aether residue, witness routes, and any signs of staged evidence.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,3,Witness Web,"Interview survivors from Meridian Guard and Skywright Guild, then compare their timelines against the Starwell pulse log.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,4,Hidden Trail,"Follow the recovered clue through Archive of First Light, avoiding false leads planted by the Veiled Hand saboteurs and their commander, Sable Veyr.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,5,Confrontation,"Corner the responsible agent or corrupted system, force a confession or data dump, and survive the countermeasure.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q001,1,The Siren Over Starfall Plaza,1 — Ashes of Meridian Gate,1,Investigation,6,Case Closure,"Deliver a verified finding to Engineer Sera Nox, update the alliance risk map, and unlock the next operational lead.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,1,Distress Signal,"Triangulate the missing group’s last signal between Lower Gearworks, The Broken Lift, and The Embermarket.",10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,2,Safe Route,"Clear hazards, ambush points, or environmental blockers so a rescue team can enter without wiping.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,3,Locate Survivors,"Find captives, wounded scouts, or trapped civilians while identifying which threats are guarding them.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,4,Stabilize & Arm,"Treat injuries, distribute emergency gear, and assign escort roles to the survivors.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
