item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0243,Hardened Urban Sprawl Cottonweave Den Pulse Pistols of Hound Latch,Standard / Non-Godly,,5,Rare,3,59,Weapon,Dual Ranged,Pulse Pistols,None,Fast,16,25,0,0,7,Kinetic Charge,Protocol Rating,Evolution Point Gain,Packmaster,Hound Latch,Standard affix: modest Hound Latch bonus appropriate for level 5.,Dungeon Cache,Dungeon cache reward tied to Urban Sprawl instance clears at level 5.,The Urban Sprawl,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 5 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0248,Hardened Emerald Canopy Sanctuary Gridglass Root Chestplate of Armor Sunder,Standard / Non-Godly,,5,Rare,3,54,Armor,Chest,Chestplate,Medium,,0,0,52,3,15,Scrap Charge Gain,Shield Break,Agility,Sylvan Warden,Armor Sunder,Standard affix: modest Armor Sunder bonus appropriate for level 5.,Dungeon Cache,Dungeon cache reward tied to Emerald Canopy Sanctuary instance clears at level 5.,The Emerald Canopy Sanctuary,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 5 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0295,Hardened Emerald Canopy Sanctuary Gridglass Void Exo-Rig of Armor Sunder,Standard / Non-Godly,,6,Rare,3,63,Armor,Chest,Exo-Rig,Medium,,0,0,51,3,18,Stagger Damage,Focus,Scrap Charge Gain,Phantom-Shift,Armor Sunder,Standard affix: modest Armor Sunder bonus appropriate for level 6.,Dungeon Cache,Dungeon cache reward tied to Emerald Canopy Sanctuary instance clears at level 6.,The Emerald Canopy Sanctuary,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 6 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0343,Hardened Emerald Canopy Sanctuary Civic Iron Chrono Greaves of Briar Binding,Standard / Non-Godly,,7,Rare,3,73,Armor,Legs,Greaves,Light,,0,0,45,3,20,Perfect Parry Window,Scrap Charge Gain,Focus,Phantom-Shift,Briar Binding,Standard affix: modest Briar Binding bonus appropriate for level 7.,Dungeon Cache,Dungeon cache reward tied to Emerald Canopy Sanctuary instance clears at level 7.,The Emerald Canopy Sanctuary,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 7 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0348,Hardened Heavy-Chewer Canyons Cloudhook Brass Reverb Mask of Hydraulic Burst,Standard / Non-Godly,,7,Rare,3,72,Armor,Head,Mask,Light,,0,0,27,2,20,Aether,Threat Control,Shield Break,Resonant,Hydraulic Burst,Standard affix: modest Hydraulic Burst bonus appropriate for level 7.,Dungeon Cache,Dungeon cache reward tied to Heavy-Chewer Canyons instance clears at level 7.,The Heavy-Chewer Canyons,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 7 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0395,Hardened Heavy-Chewer Canyons Cloudhook Brass Adaptive Chestplate of Hydraulic Burst,Standard / Non-Godly,,8,Rare,3,80,Armor,Chest,Chestplate,Medium,,0,0,77,5,22,Protocol Rating,Kinetic Charge,Resonance,Apex Mutator,Hydraulic Burst,Standard affix: modest Hydraulic Burst bonus appropriate for level 8.,Dungeon Cache,Dungeon cache reward tied to Heavy-Chewer Canyons instance clears at level 8.,The Heavy-Chewer Canyons,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 8 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0435,Prismatic Emerald Canopy Sanctuary Ash-Tanned Hound Pauldrons of Sevenfold Counter,Standard / Non-Godly,,9,Very Rare,4,97,Armor,Shoulders,Pauldrons,Medium,,0,0,57,9,27,Fortitude,Threat Control,Armor Pierce,Packmaster,Sevenfold Counter,Very Rare affix: improved Sevenfold Counter stat budget and one utility roll.,Dungeon Cache,Dungeon cache reward tied to Emerald Canopy Sanctuary instance clears at level 9.,The Emerald Canopy Sanctuary,Dungeon Cache,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 9 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0443,Hardened Heavy-Chewer Canyons Ash-Tanned Omega Bracers of Evolution Charge,Standard / Non-Godly,,9,Rare,3,90,Armor,Wrists,Bracers,Light,,0,0,31,2,25,Verdant Point Gain,Stagger Damage,Cooldown Recovery,Apex Mutator,Evolution Charge,Standard affix: modest Evolution Charge bonus appropriate for level 9.,Dungeon Cache,Dungeon cache reward tied to Heavy-Chewer Canyons instance clears at level 9.,The Heavy-Chewer Canyons,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 9 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0448,Hardened Emerald Canopy Sanctuary Tinplate Guard Sonic Maul of Sonic Reverb,Standard / Non-Godly,,9,Rare,3,94,Weapon,Two-Hand Weapon,Sonic Maul,None,Slow,37,57,0,0,11,Shield Break,Aether,Scrap Charge Gain,Kinetic Juggernaut,Sonic Reverb,Standard affix: modest Sonic Reverb bonus appropriate for level 9.,Dungeon Cache,Dungeon cache reward tied to Emerald Canopy Sanctuary instance clears at level 9.,The Emerald Canopy Sanctuary,Dungeon Cache,900,Aether Filament / Blue Tempered Core,Tradeable until equipped,Baseline leveling gear.,Level 9 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0488,Prismatic Emerald Canopy Sanctuary Wirehide Briar Tuning-Fork Blade of Thermal Shock,Standard / Non-Godly,,10,Very Rare,4,111,Weapon,Main Hand,Tuning-Fork Blade,None,Medium,37,58,0,0,13,Critical Chance,Cooldown Recovery,Might,Sylvan Warden,Thermal Shock,Very Rare affix: improved Thermal Shock stat budget and one utility roll.,Dungeon Cache,Dungeon cache reward tied to Emerald Canopy Sanctuary instance clears at level 10.,The Emerald Canopy Sanctuary,Dungeon Cache,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 10 weapon tuned for early band enemies; source never requires fighting above the item level.
