npc_id,name,race,rank,rank_title,class_affinity,sky_warden_role,hq_assignment,model_file,notes
SWN-001,Mira Vale,Human,1,Aerie Initiate,Protocol Weaver,signal-page recruit,Stormglass War Room,models/characters/SWN-001_mira_vale.glb,"balanced proportions; standard sky harness; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-002,Kesh Anovar,Pelagan,1,Aerie Initiate,Orbital Striker,dock-runner and airlock spotter,Aether Thruster Bay,models/characters/SWN-002_kesh_anovar.glb,"fin-like ears, pressure-suit collar, aquatic markings; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-003,Tali Reed,Sylvan Kin,1,Aerie Initiate,Sylvan Warden,living-rope bridge trainee,Cloud Barracks,models/characters/SWN-003_tali_reed.glb,"leaf ears, bark-fiber armor seams, vine braid; living-ship gardens, root defenses, bio-aether healing support"
SWN-004,Orren Pike,Human,1,Aerie Initiate,Kinetic Juggernaut,barricade cadet,Skyship Hangar,models/characters/SWN-004_orren_pike.glb,balanced proportions; standard sky harness; breach-line defense and anti-titan counterweight duty
SWN-005,Saffa Linn,Fae-Touched,1,Aerie Initiate,Flux-Caster,weather-lamp apprentice,Living Garden Deck,models/characters/SWN-005_saffa_linn.glb,"delicate luminous wings and asymmetric face markings; elemental shield management, ship-core thermal balancing, reaction magic"
SWN-006,Brix Thorn,Stoneblood,1,Aerie Initiate,Scrap-Tek,scrap hoist operator,Anomaly Watch Gallery,models/characters/SWN-006_brix_thorn.glb,"geode knuckles, stone brow, heavy jaw; ship salvage, turret deployment, magnetic repair warfare"
SWN-007,Naelo Korr,Nexus-Touched,1,Aerie Initiate,Phantom-Shift,anomaly watch trainee,Armada Command Ring,models/characters/SWN-007_naelo_korr.glb,"crystalline data shards and one scanning eye motif; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-008,Vesha Pryn,Aetherborn,1,Aerie Initiate,Resonant,signal choir junior,Highdock Crown,models/characters/SWN-008_vesha_pryn.glb,"glowing aether veins and translucent halo nodes; sonic navigation, rhythm-combat command, crowd disruption"
SWN-009,Juno Marrow,Glassborn,2,Windward Scout,Phantom-Shift,mirror-lane scout,Stormglass War Room,models/characters/SWN-009_juno_marrow.glb,"crystalline cheek plates and refractive shoulder trims; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-010,Elian Skye,Human,2,Windward Scout,Orbital Striker,cloud courier,Aether Thruster Bay,models/characters/SWN-010_elian_skye.glb,"balanced proportions; standard sky harness; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-011,Rook Tallis,Ironkin,2,Windward Scout,Scrap-Tek,engine crawl scout,Cloud Barracks,models/characters/SWN-011_rook_tallis.glb,"metallic limbs, riveted joints, furnace-core chest light; ship salvage, turret deployment, magnetic repair warfare"
