item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-G-001,Aether-Core Apotheosis: Aether Core Crown of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1052,Armor,Head,Crown,Mythic Light,,0,0,572,98,358,Might,Focus,Fortitude,Protocol Weaver,Starwell Sync,"Godly unique: suspends aether shields when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-002,Aether-Core Apotheosis: Aether Core Cuirass of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1055,Armor,Chest,Cuirass,Mythic Heavy,,0,0,1073,184,359,Agility,Aether,Resonance,Protocol Weaver,Starwell Sync,"Godly unique: fractures enemy aggro when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-003,Aether-Core Apotheosis: Aether Core Gauntlets of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1058,Armor,Hands,Gauntlets,Mythic Light,,0,0,576,100,360,Focus,Fortitude,Kinetic Charge,Protocol Weaver,Starwell Sync,"Godly unique: harmonizes evolution stacks when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-004,Aether-Core Apotheosis: Aether Core Greaves of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1061,Armor,Legs,Greaves,Mythic Heavy,,0,0,578,102,360,Aether,Resonance,Protocol Rating,Protocol Weaver,Starwell Sync,"Godly unique: anchors thermal primers when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-005,Aether-Core Apotheosis: Aether Core Boots of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1064,Armor,Feet,Boots,Mythic Light,,0,0,581,102,362,Fortitude,Kinetic Charge,Evolution Point Gain,Protocol Weaver,Starwell Sync,"Godly unique: transmutes void rifts when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-006,Aether-Core Apotheosis: Aether Core Blade of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1082,Weapon,Two-Hand Weapon,Greatsword,None,Slow,437,823,0,0,137,Kinetic Charge,Evolution Point Gain,Altitude Charge Gain,Protocol Weaver,Starwell Sync,"Godly unique: transmutes enemy aggro after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-007,Aether-Core Apotheosis: Aether Core Staff of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1074,Weapon,Two-Hand Focus,Flux Staff,None,Medium,356,671,0,0,137,Protocol Rating,Command Point Gain,Scrap Charge Gain,Protocol Weaver,Starwell Sync,"Godly unique: amplifies evolution stacks after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-008,Aether-Core Apotheosis: Aether Core Lance of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1077,Weapon,Two-Hand Weapon,Gravity Lance,None,Medium,381,718,0,0,139,Evolution Point Gain,Altitude Charge Gain,Verdant Point Gain,Protocol Weaver,Starwell Sync,"Godly unique: mirrors thermal primers after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-009,Aether-Core Apotheosis: Aether Core Edge of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1080,Weapon,Main Hand,Protocol Blade,None,Medium,343,643,0,0,140,Command Point Gain,Scrap Charge Gain,Flux Charge Gain,Protocol Weaver,Starwell Sync,"Godly unique: detonates void rifts after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-010,Aether-Core Apotheosis: Aether Core Focus of Starwell Sync,Godly Unique,Aether-Core Apotheosis,40,Godly,9,1083,Weapon,Main Hand,Data-Katana,None,Fast,330,620,0,0,141,Altitude Charge Gain,Verdant Point Gain,Critical Chance,Protocol Weaver,Starwell Sync,"Godly unique: rewrites tether webs after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Aether Core challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Subterranean Grid,Aether Core,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
