quest_id,quest_number,arc,title,quest_type,unlock_condition,giver,turn_in,primary_location,secondary_location,recommended_level,xp_reward,subquest_count,antagonist,shadow_cell,order_lieutenant,scheme_vector,event_mechanics,failure_state,story_summary,godly_reward_item_id,godly_reward_item_name,godly_reward_class,godly_reward_slot,completion_state
SW-PG-001,1,The First Shadow After Dawn,The First Shadow After Dawn: Oathless Black Signal,Investigation,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Aerie of the Dawnshield,Stormglass War Room,40,0,4,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"redaction fog, witness contradictions, and evidence nodes that decay unless stabilized",false evidence will be accepted as history,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Aerie of the Dawnshield to build a verified evidence chain before the Order can redact the scene. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-001,Revision Sovereign Armament of the Sky Wardens,Protocol Weaver,Weapon,The First Shadow After Dawn advances to 1/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-002,2,The First Shadow After Dawn,The First Shadow After Dawn: Backward Hidden Ledger,Defense,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Stormglass War Room,Highdock Crown,40,0,4,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"wave pressure, breach timers, and Order time-flare pylons that accelerate enemy spawns",the Aerie will lose one active defense route,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Stormglass War Room to hold the line against Order epoch-raiders while civilians and ship systems evacuate. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-002,Axiom Helmet of the Dawnshield Covenant,Protocol Weaver,Helmet,The First Shadow After Dawn advances to 2/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-003,3,The First Shadow After Dawn,The First Shadow After Dawn: Hollow False Witness,Assault,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Highdock Crown,Founder Seat Chamber,40,0,5,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"shielded ritual captains, breach lanes, and chronal artillery windows",the cell will scatter to a harder future encounter,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Highdock Crown to breach the Order cell’s fortified position and destroy its command focus. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-003,Syntax Chest of the Dawnshield Covenant,Protocol Weaver,Chest,The First Shadow After Dawn advances to 3/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-004,4,The First Shadow After Dawn,The First Shadow After Dawn: Black-Clock Silent Breach,Dungeon,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Founder Seat Chamber,Oath-Ring Observatory,40,0,5,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"three chambers, one era-lock puzzle, one elite Order custodian, and a final proof vault",the facility will lock itself one hour outside normal time,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Founder Seat Chamber to clear a multi-room Order facility, defeat its elite custodian, and recover the sealed proof. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-004,Omniscience Gauntlets of the Dawnshield Covenant,Protocol Weaver,Gauntlets,The First Shadow After Dawn advances to 4/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-005,5,The First Shadow After Dawn,The First Shadow After Dawn: Unwritten Broken Convoy,Rescue,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Oath-Ring Observatory,Aerie of the Dawnshield,40,0,4,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"moving prisoners, fake rescue signals, and Order voice-mask decoys",the prisoners will become usable voice-masks for the Order,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Oath-Ring Observatory to extract captured Sky Wardens or witnesses before their timelines are rewritten. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-005,Schema Boots of the Dawnshield Covenant,Protocol Weaver,Boots,The First Shadow After Dawn advances to 5/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-006,6,The First Shadow After Dawn,The First Shadow After Dawn: False-Dawn Counter-Oath,Heist,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Aerie of the Dawnshield,Stormglass War Room,40,0,5,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"stealth routes, rotating patrol years, alarm clocks, and optional evidence caches",the ledger will burn backward into an earlier year,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Aerie of the Dawnshield to steal an Order ledger, chronal key, or black-oath cipher without triggering an era-lock. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-006,Red Pen Ring of the Dawnshield Covenant,Protocol Weaver,Ring,The First Shadow After Dawn advances to 6/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-007,7,The First Shadow After Dawn,The First Shadow After Dawn: Century-Bound Mirror Warrant,Diplomacy,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Stormglass War Room,Highdock Crown,40,0,4,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"testimony sequencing, proof challenges, and Order plants trying to poison the record",the alliance vote will be contaminated by a false epoch clause,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Stormglass War Room to expose an Order sympathizer inside a council proceeding without breaking the alliance compact. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-007,Law Amulet of the Dawnshield Covenant,Protocol Weaver,Amulet,The First Shadow After Dawn advances to 7/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-008,8,The First Shadow After Dawn,The First Shadow After Dawn: Broken-Second Echo Siege,Puzzle,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Highdock Crown,Founder Seat Chamber,40,0,5,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"time-locked mechanisms, mirrored symbols, and present-tense anchors",the lock will reset the room to a hostile past configuration,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Highdock Crown to solve an epochal lock whose answer changes unless the player stabilizes the present moment. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-008,Paradox Cloak of the Dawnshield Covenant,Protocol Weaver,Cloak,The First Shadow After Dawn advances to 8/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-009,9,The First Shadow After Dawn,The First Shadow After Dawn: Era-Stolen Secret Trial,Escort,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Founder Seat Chamber,Oath-Ring Observatory,40,0,4,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"route hazards, ambush windows, and temporal drag on the protected target",the protected objective will arrive in the wrong era,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Founder Seat Chamber to move a living witness, ship core, or oath archive through Order interdiction lanes. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-009,Aether Relic of the Dawnshield Covenant,Protocol Weaver,Relic,The First Shadow After Dawn advances to 9/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-010,10,The First Shadow After Dawn,The First Shadow After Dawn: Redacted Cell Collapse,Boss Echo,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Oath-Ring Observatory,Aerie of the Dawnshield,40,0,5,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,"empowered boss patterns, Order glyph shields, and phase changes based on stolen memories",the echo will imprint itself into the next Order cell,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize. This quest sends the player into Oath-Ring Observatory to defeat an empowered boss echo reconstructed by the Order from stolen postwar memory. The active danger is epochal redaction glyphs that delete witness testimony from the present; if ignored, the Sky Wardens could become legally unborn, leaving the restored world undefended. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-010,EPI Prime Instrument of the Sky Wardens,Protocol Weaver,Class Tool,The First Shadow After Dawn advances to 10/10; The First-Second Cell loses one active route toward prove the first Order cell exists and bind the corrected founding record to the Dawnshield ledger.
SW-PG-011,11,The Oathless Wing,The Oathless Wing: Backward Black Signal,Investigation,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Cloud Barracks,Living Garden Deck,40,0,4,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"redaction fog, witness contradictions, and evidence nodes that decay unless stabilized",false evidence will be accepted as history,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Cloud Barracks to build a verified evidence chain before the Order can redact the scene. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-011,Omega Sovereign Armament of the Sky Wardens,Apex Mutator,Weapon,The Oathless Wing advances to 1/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-012,12,The Oathless Wing,The Oathless Wing: Hollow Hidden Ledger,Defense,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Living Garden Deck,Skyship Hangar,40,0,4,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"wave pressure, breach timers, and Order time-flare pylons that accelerate enemy spawns",the Aerie will lose one active defense route,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Living Garden Deck to hold the line against Order epoch-raiders while civilians and ship systems evacuate. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-012,Genome Helmet of the Dawnshield Covenant,Apex Mutator,Helmet,The Oathless Wing advances to 2/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-013,13,The Oathless Wing,The Oathless Wing: Black-Clock False Witness,Assault,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Skyship Hangar,Aether Thruster Bay,40,0,5,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"shielded ritual captains, breach lanes, and chronal artillery windows",the cell will scatter to a harder future encounter,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Skyship Hangar to breach the Order cell’s fortified position and destroy its command focus. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-013,Chimera Chest of the Dawnshield Covenant,Apex Mutator,Chest,The Oathless Wing advances to 3/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-014,14,The Oathless Wing,The Oathless Wing: Unwritten Silent Breach,Dungeon,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Aether Thruster Bay,Aerie Infirmary Spire,40,0,5,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"three chambers, one era-lock puzzle, one elite Order custodian, and a final proof vault",the facility will lock itself one hour outside normal time,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Aether Thruster Bay to clear a multi-room Order facility, defeat its elite custodian, and recover the sealed proof. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-014,Evolution Gauntlets of the Dawnshield Covenant,Apex Mutator,Gauntlets,The Oathless Wing advances to 4/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-015,15,The Oathless Wing,The Oathless Wing: False-Dawn Broken Convoy,Rescue,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Aerie Infirmary Spire,Cloud Barracks,40,0,4,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"moving prisoners, fake rescue signals, and Order voice-mask decoys",the prisoners will become usable voice-masks for the Order,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Aerie Infirmary Spire to extract captured Sky Wardens or witnesses before their timelines are rewritten. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-015,Carapace Boots of the Dawnshield Covenant,Apex Mutator,Boots,The Oathless Wing advances to 5/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-016,16,The Oathless Wing,The Oathless Wing: Century-Bound Counter-Oath,Heist,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Cloud Barracks,Living Garden Deck,40,0,5,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"stealth routes, rotating patrol years, alarm clocks, and optional evidence caches",the ledger will burn backward into an earlier year,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Cloud Barracks to steal an Order ledger, chronal key, or black-oath cipher without triggering an era-lock. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-016,Fang Ring of the Dawnshield Covenant,Apex Mutator,Ring,The Oathless Wing advances to 6/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-017,17,The Oathless Wing,The Oathless Wing: Broken-Second Mirror Warrant,Diplomacy,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Living Garden Deck,Skyship Hangar,40,0,4,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"testimony sequencing, proof challenges, and Order plants trying to poison the record",the alliance vote will be contaminated by a false epoch clause,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Living Garden Deck to expose an Order sympathizer inside a council proceeding without breaking the alliance compact. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-017,Catalyst Amulet of the Dawnshield Covenant,Apex Mutator,Amulet,The Oathless Wing advances to 7/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-018,18,The Oathless Wing,The Oathless Wing: Era-Stolen Echo Siege,Puzzle,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Skyship Hangar,Aether Thruster Bay,40,0,5,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"time-locked mechanisms, mirrored symbols, and present-tense anchors",the lock will reset the room to a hostile past configuration,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Skyship Hangar to solve an epochal lock whose answer changes unless the player stabilizes the present moment. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-018,Apex Cloak of the Dawnshield Covenant,Apex Mutator,Cloak,The Oathless Wing advances to 8/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
SW-PG-019,19,The Oathless Wing,The Oathless Wing: Redacted Secret Trial,Escort,Complete Quest 250 and defeat the Astral Sovereign / final campaign boss.,Torinn Rhogar,Torinn Rhogar,Aether Thruster Bay,Aerie Infirmary Spire,40,0,4,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,"route hazards, ambush windows, and temporal drag on the protected target",the protected objective will arrive in the wrong era,"After the final boss is defeated, Torinn Rhogar identifies a hidden postwar pattern: The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks. This quest sends the player into Aether Thruster Bay to move a living witness, ship core, or oath archive through Order interdiction lanes. The active danger is evolving oath-masks that copy Sky Warden voices, ranks, and command gestures; if ignored, every skyship crew could receive forged orders from a perfect imitation of command. Torinn Rhogar gives and receives the operation so the Sky Wardens maintain one clean command source while the shadow organization is exposed.",G-SW-019,Data-Beast Relic of the Dawnshield Covenant,Apex Mutator,Relic,The Oathless Wing advances to 9/10; The Oathless Wing loses one active route toward purge the oath-mask nursery and certify the true Sky Warden chain of command.
