item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0001,Plain Central Pillar Wirehide K-0NG Pauldrons of Briar Binding,Standard / Non-Godly,,1,Common,1,21,Armor,Shoulders,Pauldrons,Light,,0,0,12,1,6,Focus,Aether,Fortitude,Packmaster,Briar Binding,Standard affix: modest Briar Binding bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0002,Plain Zenith Spire Cloudhook Brass Exosphere Belt of Afterimage Echo,Standard / Non-Godly,,1,Common,1,23,Armor,Waist,Belt,Light,,0,0,7,0,6,Aether,Resonance,Protocol Rating,Orbital Striker,Afterimage Echo,Standard affix: modest Afterimage Echo bonus appropriate for level 1.,Quest Reward,Reward option from Q018 — The Silent Bell Tower in The Zenith Spire.,The Zenith Spire,Q018,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0003,Plain Zenith Spire Ash-Tanned Scavenger Cape of Starwell Sync,Standard / Non-Godly,,1,Common,1,14,Armor,Back,Cape,Light,,0,0,4,0,4,Fortitude,Protocol Rating,Altitude Charge Gain,Scrap-Tek,Starwell Sync,Standard affix: modest Starwell Sync bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Zenith Spire,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0004,Plain Provisioning Sectors Gridglass Counterweight Chestplate of Vine Pull,Standard / Non-Godly,,1,Common,1,16,Armor,Chest,Chestplate,Light,,0,0,15,1,4,Resonance,Command Point Gain,Flux Charge Gain,Kinetic Juggernaut,Vine Pull,Standard affix: modest Vine Pull bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Provisioning Sectors,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0005,Plain Urban Sprawl Civic Iron Stutter Magnetic Grapple Gauntlet of Thermal Shock,Standard / Non-Godly,,1,Common,1,22,Weapon,Arm Weapon,Magnetic Grapple Gauntlet,None,Fast,7,10,0,0,3,Kinetic Charge,Scrap Charge Gain,Armor Pierce,Phantom-Shift,Thermal Shock,Standard affix: modest Thermal Shock bonus appropriate for level 1.,Monster Drop,Drops from level-1 Scrap-Phalanx variants in Urban Sprawl; component: phalanx shield scrap.,The Urban Sprawl,Scrap-Phalanx,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0006,Plain Central Pillar Aether-Wood World-Tree Protocol Blade of Hydraulic Burst,Standard / Non-Godly,,1,Common,1,24,Weapon,Main Hand,Protocol Blade,None,Medium,8,12,0,0,3,Protocol Rating,Flux Charge Gain,Combo Decay Resistance,Sylvan Warden,Hydraulic Burst,Standard affix: modest Hydraulic Burst bonus appropriate for level 1.,Random Chest,Random chest find from Central Pillar exploration caches; respects required level 1.,The Central Pillar / Star-Elevator Core,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0007,Plain Central Pillar Cottonweave Flux Scrap Cannon of Evolution Charge,Standard / Non-Godly,,1,Common,1,26,Weapon,Heavy Ranged,Scrap Cannon,None,Slow,11,17,0,0,3,Evolution Point Gain,Stagger Damage,Might,Flux-Caster,Evolution Charge,Standard affix: modest Evolution Charge bonus appropriate for level 1.,Quest Reward,Reward option from Q015 — Refugees at the Crown Battery in The Central Pillar / Star-Elevator Core.,The Central Pillar / Star-Elevator Core,Q015,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0008,Plain Central Pillar Tinplate Syntax Greatsword of Scrap Magnetism,Standard / Non-Godly,,1,Common,1,28,Weapon,Two-Hand Weapon,Greatsword,None,Slow,12,18,0,0,3,Command Point Gain,Shield Break,Aether,Protocol Weaver,Scrap Magnetism,Standard affix: modest Scrap Magnetism bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Tinplate, gnarl-hide plates, and regional salvage from Central Pillar.",The Central Pillar / Star-Elevator Core,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0009,Plain Zenith Spire Wirehide Mutagen Bracers of Combo Grace,Standard / Non-Godly,,1,Common,1,15,Armor,Wrists,Bracers,Light,,0,0,5,0,4,Altitude Charge Gain,Combo Decay Resistance,Kinetic Charge,Apex Mutator,Combo Grace,Standard affix: modest Combo Grace bonus appropriate for level 1.,Shop Inventory,Rotating shop inventory for level-1 hubs; sold by local outfitters after regional unlock.,The Zenith Spire,Shop Vendor,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0010,Plain Urban Sprawl Cloudhook Brass Wub Cloak of Projectile Reversal,Standard / Non-Godly,,1,Common,1,17,Armor,Back,Cloak,Light,,0,0,5,0,5,Scrap Charge Gain,Threat Control,Command Point Gain,Resonant,Projectile Reversal,Standard affix: modest Projectile Reversal bonus appropriate for level 1.,Monster Drop,Drops from level-1 Siphon-Ticks variants in Urban Sprawl; component: siphon glands.,The Urban Sprawl,Siphon-Ticks,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0011,Plain Urban Sprawl Ash-Tanned Hound Visor of Mirror Deflection,Standard / Non-Godly,,1,Common,1,19,Armor,Head,Visor,Light,,0,0,6,0,5,Verdant Point Gain,Agility,Verdant Point Gain,Packmaster,Mirror Deflection,Standard affix: modest Mirror Deflection bonus appropriate for level 1.,Random Chest,Random chest find from Urban Sprawl exploration caches; respects required level 1.,The Urban Sprawl,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0012,Plain Subterranean Grid Gridglass Altitude Mantle of Sonic Reverb,Standard / Non-Godly,,1,Common,1,21,Armor,Shoulders,Mantle,Light,,0,0,9,1,6,Flux Charge Gain,Aether,Stagger Damage,Orbital Striker,Sonic Reverb,Standard affix: modest Sonic Reverb bonus appropriate for level 1.,Random Chest,Random chest find from Subterranean Grid exploration caches; respects required level 1.,The Subterranean Grid,Exploration Cache,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0013,Plain Central Pillar Civic Iron Ratchet Greaves of Vault Momentum,Standard / Non-Godly,,1,Common,1,23,Armor,Legs,Greaves,Light,,0,0,14,1,6,Critical Chance,Resonance,Cooldown Recovery,Scrap-Tek,Vault Momentum,Standard affix: modest Vault Momentum bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Civic Iron, phalanx shield scrap, and regional salvage from Central Pillar.",The Central Pillar / Star-Elevator Core,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
