shop_id,region,sub_location,area,shop_type,shop_name,expected_first_visit_level,active_inventory_count,swap_pool_count,legendary_low_chance_count,mythological_low_chance_count
SHOP-0001,Cosmic Layer,Lunar Readiness Base,Lunar Command Citadel,Mechanic,Boltworks Lunar,60,23,15,3,2
SHOP-0002,Cosmic Layer,Lunar Readiness Base,Lunar Command Citadel,General Goods,Supply Post Lunar,60,15,15,3,2
SHOP-0003,Cosmic Layer,Lunar Readiness Base,Crater Gantry Loop,Medic,Field Surgery Crater,60,15,15,3,2
SHOP-0004,Cosmic Layer,Lunar Readiness Base,Surface Launch Gantries,Armor Dye Pack Shop,Color Forge Surface,60,16,15,3,2
SHOP-0005,Cosmic Layer,Lunar Readiness Base,Anti-Orbital Battery Grid,Inn,The Wandering Anti-Orbital,60,24,15,3,2
SHOP-0006,Cosmic Layer,Lunar Readiness Base,Anti-Orbital Battery Grid,Armor Dye Pack Shop,Color Forge Anti-Orbital,60,23,15,3,2
SHOP-0007,Cosmic Layer,Lunar Readiness Base,Troop Barracks & Armories,Blacksmith,Smelter of Troop,60,25,15,3,2
SHOP-0008,Cosmic Layer,Lunar Readiness Base,Troop Barracks & Armories,Weapon Skin Shop,Patternsmith Troop,60,25,15,3,2
SHOP-0009,Cosmic Layer,Lunar Readiness Base,Vehicle Hangars,Alchemist,Elixir Nook Vehicle,60,24,15,3,2
SHOP-0010,Cosmic Layer,Lunar Readiness Base,Vehicle Hangars,Tailor,Stitchmark Vehicle,60,18,15,3,2
SHOP-0011,Cosmic Layer,Lunar Readiness Base,Resource Refinery Complex,Weapon Skin Shop,EdgeLacquer Resource,60,18,15,3,2
SHOP-0012,Cosmic Layer,Lunar Readiness Base,Helipad & Dropship Pads,Tailor,Thread & Hem Helipad,60,25,15,3,2
SHOP-0013,Cosmic Layer,Lunar Readiness Base,Maintenance Trenches,Stable,Saddle Gate Maintenance,60,23,15,3,2
SHOP-0014,Cosmic Layer,Lunar Readiness Base,Maintenance Trenches,Weapon Skin Shop,EdgeLacquer Maintenance,60,16,15,3,2
SHOP-0015,Cosmic Layer,Planet Defense Perimeter,Central Defense Ring,General Goods,Supply Post Central,64,21,15,3,2
SHOP-0016,Cosmic Layer,Planet Defense Perimeter,Laser Cannon Batteries,Armor Dye Pack Shop,Dyehouse Laser,64,16,15,3,2
SHOP-0017,Cosmic Layer,Planet Defense Perimeter,Missile Defense Arrays,Food Stall,Griddle Row Missile,64,16,15,3,2
SHOP-0018,Cosmic Layer,Planet Defense Perimeter,Missile Defense Arrays,Relic Trader,Heritage Stand Missile,64,17,15,3,2
SHOP-0019,Cosmic Layer,Planet Defense Perimeter,Drone Interceptor Wings,Blacksmith,Smelter of Drone,64,16,15,3,2
SHOP-0020,Cosmic Layer,Planet Defense Perimeter,Quantum Jammer Nodes,Weapon Skin Shop,Chromaforge Quantum,64,15,15,3,2
SHOP-0021,Cosmic Layer,Planet Defense Perimeter,Missile Silo Cluster,Tailor,Cloak and Cord Missile,64,16,15,3,2
SHOP-0022,Cosmic Layer,Planet Defense Perimeter,Defense Relay Alpha,Tailor,Thread & Hem Defense,64,23,15,3,2
SHOP-0023,Cosmic Layer,Planet Defense Perimeter,Defense Relay Beta,Inn,The Moonlit Defense,64,15,15,3,2
SHOP-0024,Cosmic Layer,Planet Defense Perimeter,Orbital Patrol Squadron,Medic,Field Surgery Orbital,64,17,15,3,2
SHOP-0025,Cosmic Layer,Planet Defense Perimeter,Drone Interceptor Hangars,Stable,Saddle Gate Drone,64,16,15,3,2
SHOP-0026,Cosmic Layer,Planet Defense Perimeter,Patrol Squadron Docks,Medic,Mender Post Patrol,64,15,15,3,2
SHOP-0027,Cosmic Layer,Planet Defense Perimeter,Patrol Squadron Docks,Curio Shop,Curio Niche Patrol,64,21,15,3,2
SHOP-0028,Cosmic Layer,Planet Defense Perimeter,Early-Warning Satellite Spine,Alchemist,Tonic Cellar Early-Warning,64,18,15,3,2
SHOP-0029,Cosmic Layer,Planet Defense Perimeter,Early-Warning Satellite Spine,Enchanter,Sigil Loom Early-Warning,64,19,15,3,2
SHOP-0030,Cosmic Layer,Planet Defense Perimeter,Breach Zone Kraken-7,General Goods,Provisions of Breach,64,22,15,3,2
SHOP-0031,Cosmic Layer,Planet Defense Perimeter,Breach Zone Kraken-7,Enchanter,Spellwire Breach,64,20,15,3,2
SHOP-0032,Cosmic Layer,Orbital Tether Station,Central Docking Ring,Marketplace,Merchant Court Central,68,24,15,3,2
SHOP-0033,Cosmic Layer,Orbital Tether Station,Cargo Docks North,Marketplace,Merchant Court Cargo,68,16,15,3,2
