region,sub_location,area,map_file,shops
01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel_map.png,Mechanic: Boltworks Lunar; General Goods: Supply Post Lunar
01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop_map.png,Medic: Field Surgery Crater
01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries_map.png,Armor Dye Pack Shop: Color Forge Surface
01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid_map.png,Inn: The Wandering Anti-Orbital; Armor Dye Pack Shop: Color Forge Anti-Orbital
01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories_map.png,Blacksmith: Smelter of Troop; Weapon Skin Shop: Patternsmith Troop
01 Cosmic Layer,01 Lunar Readiness Base,Vehicle Hangars,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/06_vehicle_hangars_map.png,Alchemist: Elixir Nook Vehicle; Tailor: Stitchmark Vehicle
01 Cosmic Layer,01 Lunar Readiness Base,Resource Refinery Complex,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/07_resource_refinery_complex_map.png,Weapon Skin Shop: EdgeLacquer Resource
01 Cosmic Layer,01 Lunar Readiness Base,Helipad & Dropship Pads,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/08_helipad_and_dropship_pads_map.png,Tailor: Thread & Hem Helipad
01 Cosmic Layer,01 Lunar Readiness Base,Maintenance Trenches,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/09_maintenance_trenches_map.png,Stable: Saddle Gate Maintenance; Weapon Skin Shop: EdgeLacquer Maintenance
01 Cosmic Layer,02 Planet Defense Perimeter,Central Defense Ring,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/01_central_defense_ring_map.png,General Goods: Supply Post Central
