item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0434,Prismatic Molten Forge Cloudhook Brass Wub Mask of Leviathan Pressure,Standard / Non-Godly,,9,Very Rare,4,95,Armor,Head,Mask,Light,,0,0,35,6,27,Aether,Combo Decay Resistance,Flux Charge Gain,Resonant,Leviathan Pressure,Very Rare affix: improved Leviathan Pressure stat budget and one utility roll.,Boss Drop,Low-weight drop from Resonant Behemoth remnant encounter when fought at or above level 8.,The Molten Forge,Resonant Behemoth,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 9 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0534,Prismatic Playa of Ash Greenfire Counterweight Aegis Shield of Vine Pull,Standard / Non-Godly,,11,Very Rare,4,114,Armor,Shield,Aegis Shield,Medium,,0,0,85,14,32,Shield Break,Agility,Protocol Rating,Kinetic Juggernaut,Vine Pull,Very Rare affix: improved Vine Pull stat budget and one utility roll.,Boss Drop,Low-weight drop from Resonant Behemoth remnant encounter when fought at or above level 8.,The Playa of Ash,Resonant Behemoth,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 11 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0676,Prismatic Magma-Core Forges Cindervale Steel Thruster Bracers of Thermal Shock,Standard / Non-Godly,,14,Very Rare,4,144,Armor,Wrists,Bracers,Medium,,0,0,49,8,40,Evolution Point Gain,Focus,Cooldown Recovery,Orbital Striker,Thermal Shock,Very Rare affix: improved Thermal Shock stat budget and one utility roll.,Boss Drop,Low-weight drop from Ivory Behemoth remnant encounter when fought at or above level 4.,The Magma-Core Forges,Ivory Behemoth,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 14 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0699,Supercharged Playa of Ash Greenfire Flux Aegis Shield of Leviathan Pressure,Standard / Non-Godly,,14,Super,5,167,Armor,Shield,Aegis Shield,Heavy,,0,0,124,20,47,Command Point Gain,Fortitude,Threat Control,Phantom-Shift,Leviathan Pressure,Super affix: minor Leviathan Pressure trigger after a perfect parry or vault.,Boss Drop,Low-weight drop from Resonance Maestro remnant encounter when fought at or above level 12.,The Playa of Ash,Resonance Maestro,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 14 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0752,Supercharged Sonic Badlands Sapglass Grav-Lift Magnetic Grapple Gauntlet of Flow Retention,Standard / Non-Godly,,16,Super,5,187,Weapon,Arm Weapon,Magnetic Grapple Gauntlet,None,Fast,53,86,0,0,22,Perfect Parry Window,Focus,Kinetic Charge,Orbital Striker,Flow Retention,Super affix: minor Flow Retention trigger after a perfect parry or vault.,Boss Drop,Low-weight drop from Ivory Behemoth remnant encounter when fought at or above level 4.,The Sonic Badlands,Ivory Behemoth,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 16 weapon tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0805,Supercharged Abyssal Trench Null-Iron Maelstrom Bracers of Tempo Control,Standard / Non-Godly,,17,Super,5,195,Armor,Wrists,Bracers,Medium,,0,0,66,11,55,Evolution Point Gain,Threat Control,Verdant Point Gain,Flux-Caster,Tempo Control,Super affix: minor Tempo Control trigger after a perfect parry or vault.,Boss Drop,Low-weight drop from Resonance Maestro remnant encounter when fought at or above level 12.,The Abyssal Trench,Resonance Maestro,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 17 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0852,Supercharged Sonic Badlands Null-Iron Sylvan Greaves of Tempo Control,Standard / Non-Godly,,18,Super,5,206,Armor,Legs,Greaves,Heavy,,0,0,128,21,58,Verdant Point Gain,Kinetic Charge,Might,Sylvan Warden,Tempo Control,Super affix: minor Tempo Control trigger after a perfect parry or vault.,Boss Drop,Low-weight drop from Resonance Maestro remnant encounter when fought at or above level 12.,The Sonic Badlands,Resonance Maestro,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 18 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0876,Prismatic Abyssal Trench Null-Iron Wub Pauldrons of Flow Retention,Standard / Non-Godly,,18,Very Rare,4,184,Armor,Shoulders,Pauldrons,Heavy,,0,0,108,17,52,Critical Chance,Altitude Charge Gain,Kinetic Charge,Resonant,Flow Retention,Very Rare affix: improved Flow Retention stat budget and one utility roll.,Boss Drop,Low-weight drop from Resonance Maestro remnant encounter when fought at or above level 12.,The Abyssal Trench,Resonance Maestro,275,Prismatic Scale / Violet Circuit,Tradeable until equipped,Baseline leveling gear.,Level 18 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0905,Supercharged Abyssal Trench Leviathan Pearl Pack Gauntlets of Sevenfold Counter,Standard / Non-Godly,,19,Super,5,217,Armor,Hands,Gauntlets,Heavy,,0,0,101,16,61,Might,Aether,Kinetic Charge,Packmaster,Sevenfold Counter,Super affix: minor Sevenfold Counter trigger after a perfect parry or vault.,Boss Drop,Low-weight drop from Ivory Behemoth remnant encounter when fought at or above level 4.,The Abyssal Trench,Ivory Behemoth,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 19 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0973,Supercharged Resonant Peaks Greenfire K-0NG Mantle of Dawnforge Resolve,Standard / Non-Godly,,20,Super,5,226,Armor,Shoulders,Mantle,Medium,,0,0,98,16,63,Aether,Evolution Point Gain,Flux Charge Gain,Packmaster,Dawnforge Resolve,Super affix: minor Dawnforge Resolve trigger after a perfect parry or vault.,Boss Drop,Low-weight drop from Apex Chimera remnant encounter when fought at or above level 16.,The Resonant Peaks,Apex Chimera,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 20 armor tuned for mid band enemies; source never requires fighting above the item level.
