item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0650,Supercharged Micro-Transaction Markets Pressure-Sealed Kinetic Exo-Rig of Aerial Juggle,Standard / Non-Godly,,13,Super,5,153,Armor,Chest,Exo-Rig,Heavy,,0,0,123,20,43,Aether,Stagger Damage,Resonance,Kinetic Juggernaut,Aerial Juggle,Super affix: minor Aerial Juggle trigger after a perfect parry or vault.,World Secret,"Hidden atlas secret in Micro-Transaction Markets; one roll per discovery state, no Godly chance.",The Micro-Transaction Markets,World Secret,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 13 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-0750,Supercharged Sonic Badlands Moon-Silver Syntax Chestplate of Afterimage Echo,Standard / Non-Godly,,15,Super,5,175,Armor,Chest,Chestplate,Heavy,,0,0,168,27,49,Shield Break,Combo Decay Resistance,Threat Control,Protocol Weaver,Afterimage Echo,Super affix: minor Afterimage Echo trigger after a perfect parry or vault.,World Secret,"Hidden atlas secret in Sonic Badlands; one roll per discovery state, no Godly chance.",The Sonic Badlands,World Secret,80,Superdense Aether Lattice,Tradeable until equipped,Baseline leveling gear.,Level 15 armor tuned for mid band enemies; source never requires fighting above the item level.
DF-N-1432,Ancient Zenith Spire Astral Bone Lexicon Mantle of Aerial Juggle,Standard / Non-Godly,,29,Ancient,7,452,Armor,Shoulders,Mantle,Heavy,,0,0,196,32,127,Command Point Gain,Scrap Charge Gain,Flux Charge Gain,Protocol Weaver,Aerial Juggle,High-tier non-unique affix: +4 Aerial Juggle stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Zenith Spire; one roll per discovery state, no Godly chance.",The Zenith Spire,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 29 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1487,Supercharged Canceled Supabase Astral Bone Blink Data-Katana of Vine Pull,Standard / Non-Godly,,30,Super,5,336,Weapon,Main Hand,Data-Katana,None,Fast,103,168,0,0,40,Threat Control,Verdant Point Gain,Aether,Phantom-Shift,Vine Pull,Super affix: minor Vine Pull trigger after a perfect parry or vault.,World Secret,"Hidden atlas secret in Canceled Supabase; one roll per discovery state, no Godly chance.",The Canceled Supabase,World Secret,80,Superdense Aether Lattice,Tradeable until equipped,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 30 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1518,Legend-Wrought Canceled Supabase Astral Bone EPI Greatsword of Siphon Guard,Standard / Non-Godly,,31,Legend,6,412,Weapon,Two-Hand Weapon,Greatsword,None,Slow,166,277,0,0,49,Command Point Gain,Command Point Gain,Command Point Gain,Protocol Weaver,Siphon Guard,High-tier non-unique affix: +3 Siphon Guard stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Canceled Supabase; one roll per discovery state, no Godly chance.",The Canceled Supabase,World Secret,18,Legend Shard,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 31 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1587,Supercharged Canceled Supabase Void-Touched Apex Hydraulic Knuckles of Projectile Reversal,Standard / Non-Godly,,32,Super,5,359,Weapon,Fist Weapon,Hydraulic Knuckles,None,Medium,124,202,0,0,43,Flux Charge Gain,Armor Pierce,Combo Decay Resistance,Apex Mutator,Projectile Reversal,Super affix: minor Projectile Reversal trigger after a perfect parry or vault.,World Secret,"Hidden atlas secret in Canceled Supabase; one roll per discovery state, no Godly chance.",The Canceled Supabase,World Secret,80,Superdense Aether Lattice,Tradeable until equipped,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 32 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1600,Ancient Deprecated Repositories Dreamglass Grav-Lift Coat of Tempo Control,Standard / Non-Godly,,32,Ancient,7,496,Armor,Chest,Coat,Heavy,,0,0,323,52,139,Fortitude,Perfect Parry Window,Critical Chance,Orbital Striker,Tempo Control,High-tier non-unique affix: +4 Tempo Control stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Deprecated Repositories; one roll per discovery state, no Godly chance.",The Deprecated Repositories,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 32 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1618,Legend-Wrought Canceled Supabase Void-Touched Grav-Lift Exo-Rig of Null Ward,Standard / Non-Godly,,33,Legend,6,434,Armor,Chest,Exo-Rig,Heavy,,0,0,350,56,122,Agility,Flux Charge Gain,Aether,Orbital Striker,Null Ward,High-tier non-unique affix: +3 Null Ward stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Canceled Supabase; one roll per discovery state, no Godly chance.",The Canceled Supabase,World Secret,18,Legend Shard,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 33 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1676,Legend-Wrought Pocket-Monster Data Plains Prismatic Data Zero-G Gauntlets of Thermal Shock,Standard / Non-Godly,,34,Legend,6,447,Armor,Hands,Gauntlets,Heavy,,0,0,208,34,125,Armor Pierce,Perfect Parry Window,Focus,Orbital Striker,Thermal Shock,High-tier non-unique affix: +3 Thermal Shock stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Pocket-Monster Data Plains; one roll per discovery state, no Godly chance.",The Pocket-Monster Data Plains,World Secret,18,Legend Shard,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 34 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1700,Myth-Sung Alternating Archives Prismatic Data Sylvan Visor of Sevenfold Counter,Standard / Non-Godly,,34,Mythological,8,614,Armor,Head,Visor,Heavy,,0,0,209,34,172,Cooldown Recovery,Focus,Evolution Point Gain,Sylvan Warden,Sevenfold Counter,High-tier non-unique affix: +5 Sevenfold Counter stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Alternating Archives; one roll per discovery state, no Godly chance.",The Alternating Archives,World Secret,2,Mythic Starwell Fragment,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 34 armor tuned for late band enemies; source never requires fighting above the item level.
