id,name,race,rank,rank_title,role,squad,ship_assignment,model_file,visual_notes
SW_NPC_001,Ari Stormvale,Human,1,Cloud Initiate,Launch-deck watchrunner,Bluewing Cadre,Cloudlace Courier,assets/glb/npcs/SW_NPC_001_ari_stormvale.glb,"Human Sky Warden uniform, rank 1 Cloud Initiate, role marker: Launch-deck watchrunner"
SW_NPC_002,Belan Aerieson,Aetherborn,1,Cloud Initiate,Grapple-line skirmisher,Bluewing Cadre,Rainneedle Patrol Skiff,assets/glb/npcs/SW_NPC_002_belan_aerieson.glb,"Aetherborn Sky Warden uniform, rank 1 Cloud Initiate, role marker: Grapple-line skirmisher"
SW_NPC_003,Cyra Brightmast,Sky Dwarf,1,Cloud Initiate,Aether ballast technician,Bluewing Cadre,Skyhook Cutter,assets/glb/npcs/SW_NPC_003_cyra_brightmast.glb,"Sky Dwarf Sky Warden uniform, rank 1 Cloud Initiate, role marker: Aether ballast technician"
SW_NPC_004,Damak Skyrill,Sylvan Elf,1,Cloud Initiate,Stormglass navigator,Bluewing Cadre,Silverwing Corvette,assets/glb/npcs/SW_NPC_004_damak_skyrill.glb,"Sylvan Elf Sky Warden uniform, rank 1 Cloud Initiate, role marker: Stormglass navigator"
SW_NPC_005,Elowen Noxwind,Drakari,1,Cloud Initiate,Medic-rigger,Bluewing Cadre,Mercy Barque,assets/glb/npcs/SW_NPC_005_elowen_noxwind.glb,"Drakari Sky Warden uniform, rank 1 Cloud Initiate, role marker: Medic-rigger"
SW_NPC_006,Fenn Glasswake,Mycelian,1,Cloud Initiate,Boarding pike specialist,Bluewing Cadre,Thunderline Dropship,assets/glb/npcs/SW_NPC_006_fenn_glasswake.glb,"Mycelian Sky Warden uniform, rank 1 Cloud Initiate, role marker: Boarding pike specialist"
SW_NPC_007,Ghara Ironwake,Tideborn,1,Cloud Initiate,Signal flare cantor,Bluewing Cadre,Tempest Frigate,assets/glb/npcs/SW_NPC_007_ghara_ironwake.glb,"Tideborn Sky Warden uniform, rank 1 Cloud Initiate, role marker: Signal flare cantor"
SW_NPC_008,Hesh Sparkline,Ironkin,2,Wind Scout,Skyhook artillery spotter,Gale Lanterns,Aerie Cruiser,assets/glb/npcs/SW_NPC_008_hesh_sparkline.glb,"Ironkin Sky Warden uniform, rank 2 Wind Scout, role marker: Skyhook artillery spotter"
SW_NPC_009,Ilyra Galesong,Avian,2,Wind Scout,Anti-fall warder,Gale Lanterns,Stormcrown Dreadnought,assets/glb/npcs/SW_NPC_009_ilyra_galesong.glb,"Avian Sky Warden uniform, rank 2 Wind Scout, role marker: Anti-fall warder"
SW_NPC_010,Joric Firemast,Lunari,2,Wind Scout,Sail-engine machinist,Gale Lanterns,Covenant Ark-Carrier,assets/glb/npcs/SW_NPC_010_joric_firemast.glb,"Lunari Sky Warden uniform, rank 2 Wind Scout, role marker: Sail-engine machinist"
