item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-0008,Plain Central Pillar Tinplate Syntax Greatsword of Scrap Magnetism,Standard / Non-Godly,,1,Common,1,28,Weapon,Two-Hand Weapon,Greatsword,None,Slow,12,18,0,0,3,Command Point Gain,Shield Break,Aether,Protocol Weaver,Scrap Magnetism,Standard affix: modest Scrap Magnetism bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Tinplate, gnarl-hide plates, and regional salvage from Central Pillar.",The Central Pillar / Star-Elevator Core,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0013,Plain Central Pillar Civic Iron Ratchet Greaves of Vault Momentum,Standard / Non-Godly,,1,Common,1,23,Armor,Legs,Greaves,Light,,0,0,14,1,6,Critical Chance,Resonance,Cooldown Recovery,Scrap-Tek,Vault Momentum,Standard affix: modest Vault Momentum bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Civic Iron, phalanx shield scrap, and regional salvage from Central Pillar.",The Central Pillar / Star-Elevator Core,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0029,Plain Urban Sprawl Civic Iron Alpha Visor of Sevenfold Counter,Standard / Non-Godly,,1,Common,1,22,Armor,Head,Visor,Light,,0,0,8,0,6,Evolution Point Gain,Stagger Damage,Might,Apex Mutator,Sevenfold Counter,Standard affix: modest Sevenfold Counter bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Civic Iron, phalanx shield scrap, and regional salvage from Urban Sprawl.",The Urban Sprawl,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0034,Plain Raid-Rush Choke Points Cloudhook Brass Seismic Gloves of Vine Pull,Standard / Non-Godly,,1,Common,1,21,Armor,Hands,Gloves,Light,,0,0,7,0,6,Flux Charge Gain,Aether,Stagger Damage,Kinetic Juggernaut,Vine Pull,Standard affix: modest Vine Pull bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Cloudhook Brass, siphon glands, and regional salvage from Raid-Rush Choke Points.",The Raid-Rush Choke Points,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0050,Plain Subterranean Grid Cloudhook Brass Tempo Aegis Shield of Dawnforge Resolve,Standard / Non-Godly,,1,Common,1,20,Armor,Shield,Aegis Shield,Light,,0,0,15,1,6,Protocol Rating,Flux Charge Gain,Combo Decay Resistance,Resonant,Dawnforge Resolve,Standard affix: modest Dawnforge Resolve bonus appropriate for level 1.,Crafting Pattern,"Crafting schematic using Cloudhook Brass, siphon glands, and regional salvage from Subterranean Grid.",The Subterranean Grid,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 1 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0055,Tuned Urban Sprawl Tinplate Aether Briar Bow of Scrap Magnetism,Standard / Non-Godly,,2,Uncommon,2,37,Weapon,Ranged Weapon,Briar Bow,None,Medium,12,18,0,0,4,Flux Charge Gain,Focus,Flux Charge Gain,Flux-Caster,Scrap Magnetism,Standard affix: modest Scrap Magnetism bonus appropriate for level 2.,Crafting Pattern,"Crafting schematic using Tinplate, gnarl-hide plates, and regional salvage from Urban Sprawl.",The Urban Sprawl,Crafting,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0060,Tuned Zenith Spire Civic Iron Orbital Boots of Vault Momentum,Standard / Non-Godly,,2,Uncommon,2,32,Armor,Feet,Boots,Light,,0,0,13,1,9,Cooldown Recovery,Verdant Point Gain,Kinetic Charge,Orbital Striker,Vault Momentum,Standard affix: modest Vault Momentum bonus appropriate for level 2.,Crafting Pattern,"Crafting schematic using Civic Iron, phalanx shield scrap, and regional salvage from Zenith Spire.",The Zenith Spire,Crafting,2600,Refined Alloy / Greenhide Thread,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0066,Plain Central Pillar Ash-Tanned Front-Matter Vine Scythe of Phase-Step,Standard / Non-Godly,,2,Common,1,35,Weapon,Two-Hand Weapon,Vine Scythe,None,Medium,12,18,0,0,4,Focus,Focus,Focus,Protocol Weaver,Phase-Step,Standard affix: modest Phase-Step bonus appropriate for level 2.,Crafting Pattern,"Crafting schematic using Ash-Tanned, rush-core filaments, and regional salvage from Central Pillar.",The Central Pillar / Star-Elevator Core,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
DF-N-0071,Plain Subterranean Grid Tinplate Magnetic Cloak of Null Ward,Standard / Non-Godly,,2,Common,1,30,Armor,Back,Cloak,Light,,0,0,8,1,8,Protocol Rating,Verdant Point Gain,Shield Break,Scrap-Tek,Null Ward,Standard affix: modest Null Ward bonus appropriate for level 2.,Crafting Pattern,"Crafting schematic using Tinplate, gnarl-hide plates, and regional salvage from Subterranean Grid.",The Subterranean Grid,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 armor tuned for early band enemies; source never requires fighting above the item level.
DF-N-0087,Plain Subterranean Grid Tinplate Data-Code Briar Bow of Projectile Reversal,Standard / Non-Godly,,2,Common,1,33,Weapon,Ranged Weapon,Briar Bow,None,Medium,11,16,0,0,4,Agility,Might,Threat Control,Apex Mutator,Projectile Reversal,Standard affix: modest Projectile Reversal bonus appropriate for level 2.,Crafting Pattern,"Crafting schematic using Tinplate, gnarl-hide plates, and regional salvage from Subterranean Grid.",The Subterranean Grid,Crafting,6000,Plain Alloy / Tanned Hide,Tradeable until equipped,Baseline leveling gear.,Level 2 weapon tuned for early band enemies; source never requires fighting above the item level.
