world_map_location,category,min_level,difficulty_band,quest_appearances,first_quest,last_quest,sublocations_required,sublocations_touched_by_matrix,coverage_status
The Urban Sprawl,Central Hub,1,Early,12,Q001,Q244,Spire-Foot Transit Plaza | Lower Civic Ring | Collapsed Skywalk Lanes | Alliance Muster Square | Old Wayfinder Stairs,Alliance Muster Square | Collapsed Skywalk Lanes | Lower Civic Ring | Old Wayfinder Stairs | Spire-Foot Transit Plaza,PASS
The Zenith Spire,Central Hub / Vertical Spine,1,Early-to-Endgame,11,Q002,Q247,Glass Lobby Atrium | Executive Lift Shafts | Atmospheric Observation Deck | Star-Elevator Spine | Oligarch Glass Suite,Atmospheric Observation Deck | Executive Lift Shafts | Glass Lobby Atrium | Oligarch Glass Suite | Star-Elevator Spine,PASS
The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,11,Q003,Q246,Aether Counterweight Hall | Broken Ventilation Spine | Gravity Cable Junction | World-Pillar Maintenance Ring | Dawnforge Descent Gate,Aether Counterweight Hall | Broken Ventilation Spine | Dawnforge Descent Gate | Gravity Cable Junction | World-Pillar Maintenance Ring,PASS
The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,7,Q004,Q068,Neon Rail Concourse | Express-Line Switchroom | Dead Platform Twelve | Train-Hazard Arena | Spark’s Signal Den,Dead Platform Twelve | Express-Line Switchroom | Neon Rail Concourse | Spark’s Signal Den | Train-Hazard Arena,PASS
The Provisioning Sectors,Urban Sprawl & Transit Networks,2,Early,2,Q013,Q021,Drone Dispatch Alleys | Ration Kiosk Row | Reinforced Storefront Lane | Wall-Run Market Roofs | Vendor Audit Vault,Drone Dispatch Alleys | Ration Kiosk Row | Reinforced Storefront Lane | Vendor Audit Vault | Wall-Run Market Roofs,PASS
The Raid-Rush Choke Points,Urban Sprawl & Transit Networks,3,Early,4,Q014,Q168,Barricade Gate Alpha | Crush-Gate Corridor | Militia Sensor Nest | Kill-Lane Overpass | Fallback Ammunition Yard,Barricade Gate Alpha | Crush-Gate Corridor | Fallback Ammunition Yard | Kill-Lane Overpass | Militia Sensor Nest,PASS
The On-Demand Arteries,Urban Sprawl & Transit Networks,4,Early,5,Q023,Q072,RideShare Roofway | Lane-Swap Bridges | Automated Toll Spine | Overpass Leap Chain | Service Vehicle Depot,Automated Toll Spine | Lane-Swap Bridges | Overpass Leap Chain | RideShare Roofway | Service Vehicle Depot,PASS
The Micro-Transaction Markets,Entertainment & Festival Hubs,4,Early,5,Q024,Q073,Slot-Lantern Bazaar | Coin-Dispenser Arcade | Neon Vendor Labyrinth | Prize-Chest Alley | Market Combat Stage,Coin-Dispenser Arcade | Market Combat Stage | Neon Vendor Labyrinth | Prize-Chest Alley | Slot-Lantern Bazaar,PASS
The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,13,Q026,Q216,Suspended Rope Bridges | Beast-Back Platforms | Upper Canopy Safe Nests | Sanctuary Water Steps | Kaelen’s Treetop Camp,Beast-Back Platforms | Kaelen’s Treetop Camp | Sanctuary Water Steps | Suspended Rope Bridges | Upper Canopy Safe Nests,PASS
The Pachyderm Sanctuaries,Conservation Wilds,5,Early,4,Q027,Q043,Titan Footfall Basin | Poacher-Drone Blind | Wet Fern Corridor | Sanctuary Feeding Run | Ancient Beast Hollow,Ancient Beast Hollow | Poacher-Drone Blind | Sanctuary Feeding Run | Titan Footfall Basin | Wet Fern Corridor,PASS
The Canopy Portrait Halls,Conservation Wilds,6,Early,2,Q036,Q044,Mural Vestibule | Vine-Swing Nave | Pressure-Plate Gallery | Root-Sealed Reliquary | Collapsed Fresco Walk,Collapsed Fresco Walk | Mural Vestibule | Pressure-Plate Gallery | Root-Sealed Reliquary | Vine-Swing Nave,PASS
The Whispering Glade,Ethereal & Resonant Zones,6,Early,6,Q033,Q049,Lumenroot Meadow | Glow-Vine Path | Silent Pool | Combo-Lit Hidden Trail | Twilight Elite Clearing,Combo-Lit Hidden Trail | Glow-Vine Path | Lumenroot Meadow | Silent Pool | Twilight Elite Clearing,PASS
The Evolution Arenas,Conservation Wilds,7,Early,1,Q046,Q046,Dormant Crater Floor | Rising Pillar Ring | Adaptive Pit Lanes | Elemental Hazard Crown | Arena Evolution Core,Adaptive Pit Lanes | Arena Evolution Core | Dormant Crater Floor | Elemental Hazard Crown | Rising Pillar Ring,PASS
The Heavy-Chewer Canyons,Terrestrial Sanctuaries,8,Early-to-Mid,7,Q047,Q075,Geode Narrows | Jawbone Switchback | Pack-Hunter Ledge | Choke-Canyon Basin | Echoing Redstone Gate,Choke-Canyon Basin | Echoing Redstone Gate | Geode Narrows | Jawbone Switchback | Pack-Hunter Ledge,PASS
The Molten Forge,Forgotten Depths & Industrial Grids,10,Early-to-Mid,8,Q058,Q217,Lava-Tide Walkways | Slagfall Gantry | Thermal Updraft Shafts | Warden Hammer Floor | Volcanic Intake Gate,Lava-Tide Walkways | Slagfall Gantry | Thermal Updraft Shafts | Volcanic Intake Gate | Warden Hammer Floor,PASS
The Magma-Core Forges,High-Fantasy Fronts,11,Mid,1,Q070,Q070,Molten Iron Rivers | Hydraulic Hammer Row | Anvil Timing Hall | Forge-Crane Bridges | Core Armory Vault,Anvil Timing Hall | Core Armory Vault | Forge-Crane Bridges | Hydraulic Hammer Row | Molten Iron Rivers,PASS
