quest_id,arc,antagonist,shadow_cell,order_lieutenant,scheme_vector,primary_location,secondary_location,failure_state
SW-PG-001,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Aerie of the Dawnshield,Stormglass War Room,false evidence will be accepted as history
SW-PG-002,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Stormglass War Room,Highdock Crown,the Aerie will lose one active defense route
SW-PG-003,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Highdock Crown,Founder Seat Chamber,the cell will scatter to a harder future encounter
SW-PG-004,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Founder Seat Chamber,Oath-Ring Observatory,the facility will lock itself one hour outside normal time
SW-PG-005,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Oath-Ring Observatory,Aerie of the Dawnshield,the prisoners will become usable voice-masks for the Order
SW-PG-006,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Aerie of the Dawnshield,Stormglass War Room,the ledger will burn backward into an earlier year
SW-PG-007,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Stormglass War Room,Highdock Crown,the alliance vote will be contaminated by a false epoch clause
SW-PG-008,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Highdock Crown,Founder Seat Chamber,the lock will reset the room to a hostile past configuration
SW-PG-009,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Founder Seat Chamber,Oath-Ring Observatory,the protected objective will arrive in the wrong era
SW-PG-010,The First Shadow After Dawn,The Order of the Epochalypse,The First-Second Cell,Chronologer Vaelis Ruun,The First-Second Cell of The Order of the Epochalypse attempts to rewrite the Sky Wardens founding oaths before the new peace can stabilize.,Oath-Ring Observatory,Aerie of the Dawnshield,the echo will imprint itself into the next Order cell
SW-PG-011,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Cloud Barracks,Living Garden Deck,false evidence will be accepted as history
SW-PG-012,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Living Garden Deck,Skyship Hangar,the Aerie will lose one active defense route
SW-PG-013,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Skyship Hangar,Aether Thruster Bay,the cell will scatter to a harder future encounter
SW-PG-014,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Aether Thruster Bay,Aerie Infirmary Spire,the facility will lock itself one hour outside normal time
SW-PG-015,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Aerie Infirmary Spire,Cloud Barracks,the prisoners will become usable voice-masks for the Order
SW-PG-016,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Cloud Barracks,Living Garden Deck,the ledger will burn backward into an earlier year
SW-PG-017,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Living Garden Deck,Skyship Hangar,the alliance vote will be contaminated by a false epoch clause
SW-PG-018,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Skyship Hangar,Aether Thruster Bay,the lock will reset the room to a hostile past configuration
SW-PG-019,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Aether Thruster Bay,Aerie Infirmary Spire,the protected objective will arrive in the wrong era
SW-PG-020,The Oathless Wing,The Order of the Epochalypse,The Oathless Wing,Prelate Iovara Mneme,The Oathless Wing of The Order of the Epochalypse attempts to seed false recruits and adaptive flesh-records inside the Aerie barracks.,Aerie Infirmary Spire,Cloud Barracks,the echo will imprint itself into the next Order cell
SW-PG-021,The Backward Bell War,The Order of the Epochalypse,The Backward Bell Choir,Cantor Selven Thrice,The Backward Bell Choir of The Order of the Epochalypse attempts to turn sonic navigation beacons into reverse-time alarms that summon battles already lost.,Resonant Peaks,Sonic Badlands,false evidence will be accepted as history
