pack_number,zip,pack_name,class,subclass,specialization,ability,monster,boss,support_npc,weather,terrain,sun_variant,glb_modules,texture_png,audio_wav,config_docs,size_bytes
623,0623_packmaster_meat_shield_combat_magic_upgrade_0623.zip,Packmaster Meat-Shield Combat Magic Upgrade 0623,Packmaster,Hound-Rider,Mounted Artillery,Meat-Shield,The Scrap-Stalker,The Resonant Behemoth,Beastmaster Thorne,clear dawn,glass shard soundwave,eclipse violet rim,8,12,5,11,83272
624,0624_orbital_striker_exosphere_stasis_combat_magic_upgrade_0624.zip,Orbital Striker Exosphere Stasis Combat Magic Upgrade 0624,Orbital Striker,Zero-G Brawler,Atmospheric Juggle,Exosphere Stasis,The Grid-Rushers,The Data-Forged Evolvarch,Director Vance,amber dusk,root snare,storm green cast,8,12,5,11,87435
625,0625_scrap_tek_magnetic_tether_combat_magic_upgrade_0625.zip,Scrap-Tek Magnetic Tether Combat Magic Upgrade 0625,Scrap-Tek,Scavenger,Magnetic Harvester,Magnetic Tether,The Siphon-Ticks,The Resonance Maestro,The Grand Archivist,acid rain,starfield dust,molten red noon,8,12,5,11,94996
626,0626_kinetic_juggernaut_perfect_deflection_combat_magic_upgrade_0626.zip,Kinetic Juggernaut Perfect Deflection Combat Magic Upgrade 0626,Kinetic Juggernaut,Momentum Engine,Kinetic Absorption,Perfect Deflection,The Venom-Spitter,The Syndicate Lich,Tidespeaker Nami,snow squall,glass shard soundwave,deep-water cyan bloom,8,12,5,11,125913
627,0627_phantom_shift_singularity_event_combat_magic_upgrade_0627.zip,Phantom-Shift Singularity Event Combat Magic Upgrade 0627,Phantom-Shift,Chrono-Blade,Shadow-Anchor,Singularity Event,Nexus Warden,The Apex Chimera,Beastmaster Thorne,zero-g starstorm,root snare,archive white-gold,8,12,5,11,86914
628,0628_sylvan_warden_briar_web_combat_magic_upgrade_0628.zip,Sylvan Warden Briar Web Combat Magic Upgrade 0628,Sylvan Warden,Verdant Weaver,Spore-Cloud,Briar Web,The Void Anomaly,The Astral Sovereign,Director Vance,fog bank,starfield dust,void blacklight sun,8,12,5,11,127135
629,0629_flux_caster_avatar_of_flux_combat_magic_upgrade_0629.zip,Flux-Caster Avatar of Flux Combat Magic Upgrade 0629,Flux-Caster,Storm-Caller,Superconduct,Avatar of Flux,The Scrap-Phalanx,The Null Anomaly,The Grand Archivist,tidal surge,glass shard soundwave,festival magenta sun,8,12,5,11,108629
630,0630_protocol_weaver_syntax_strike_combat_magic_upgrade_0630.zip,Protocol Weaver Syntax Strike Combat Magic Upgrade 0630,Protocol Weaver,Evolutionary Coder,Reality Tearing,Syntax Strike,The Iron-Jaw Hound,The Ivory Behemoth,Tidespeaker Nami,clear dawn,root snare,cold blue sunrise,8,12,5,11,110061
631,0631_apex_mutator_alpha_trigger_combat_magic_upgrade_0631.zip,Apex Mutator Alpha Trigger Combat Magic Upgrade 0631,Apex Mutator,Primal Catalyst,Venomous Adaptation,Alpha Trigger,The Nexus Swarmers,The Ascendant Colossus,Beastmaster Thorne,amber dusk,starfield dust,golden sanctuary sun,8,12,5,11,126696
632,0632_resonant_frame_trap_combat_magic_upgrade_0632.zip,Resonant Frame-Trap Combat Magic Upgrade 0632,Resonant,Sub-Bass Architect,Accelerando,Frame-Trap,The Sylvan Juggernaut,The Resonant Behemoth,Director Vance,acid rain,glass shard soundwave,ash-orange glare,8,12,5,11,108109
