event_id,event_title,world_map_location,sublocation,required_player_level,monster,variant_name,role_in_event,standard_level,effective_event_level,standard_hp,event_hp,standard_damage,event_damage,standard_armor,event_armor,standard_shield,event_shield,standard_stagger_resistance,event_stagger_resistance,standard_speed_scalar,event_speed_scalar,standard_base_xp,event_xp_reward,mechanic_basis,raised_from_standard_summary
SEV-001,Overcharged Incident: Spire-Foot Transit Plaza,The Urban Sprawl,Spire-Foot Transit Plaza,20,Null Anomaly,Overcharged Null Anomaly,Primary Variant / Event Anchor,20,22,18000,25752,560,736,35,43,90,107,105,129,1.1,1.15,12000,0,Echo Splintering; Gravity Reversal,HP x1.43; DMG x1.31; ARM x1.23
SEV-001,Overcharged Incident: Spire-Foot Transit Plaza,The Urban Sprawl,Spire-Foot Transit Plaza,20,Iron-Jaw Hound,Overcharged Iron-Jaw Hound,Support Variant 1,13,22,950,3024,75,187,30,49,0,0,35,57,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.18; DMG x2.50; ARM x1.64
SEV-001,Overcharged Incident: Spire-Foot Transit Plaza,The Urban Sprawl,Spire-Foot Transit Plaza,20,Tremor-Fiend,Overcharged Tremor-Fiend,Support Variant 2,18,22,1800,3558,120,204,40,55,0,0,65,90,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x1.98; DMG x1.70; ARM x1.38
SEV-002,Bark-Crowned Incident: Lower Civic Ring,The Urban Sprawl,Lower Civic Ring,20,Iron-Jaw Hound,Bark-Crowned Iron-Jaw Hound,Primary Variant / Event Anchor,13,22,950,3024,75,187,30,49,0,0,35,57,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.18; DMG x2.50; ARM x1.64
SEV-002,Bark-Crowned Incident: Lower Civic Ring,The Urban Sprawl,Lower Civic Ring,20,Tremor-Fiend,Bark-Crowned Tremor-Fiend,Support Variant 1,18,22,1800,3558,120,204,40,55,0,0,65,90,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x1.98; DMG x1.70; ARM x1.38
SEV-002,Bark-Crowned Incident: Lower Civic Ring,The Urban Sprawl,Lower Civic Ring,20,Venom-Spitter,Bark-Crowned Venom-Spitter,Support Variant 2,15,22,700,1842,65,139,15,23,0,0,20,31,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.63; DMG x2.14; ARM x1.53
SEV-003,Echo-Split Incident: Collapsed Skywalk Lanes,The Urban Sprawl,Collapsed Skywalk Lanes,20,Venom-Spitter,Echo-Split Venom-Spitter,Primary Variant / Event Anchor,15,22,700,1842,65,139,15,23,0,0,20,31,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.63; DMG x2.14; ARM x1.53
SEV-003,Echo-Split Incident: Collapsed Skywalk Lanes,The Urban Sprawl,Collapsed Skywalk Lanes,20,Aegis Carapace,Echo-Split Aegis Carapace,Support Variant 1,12,22,1100,3852,60,162,55,93,50,81,45,76,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.50; DMG x2.70; ARM x1.69
SEV-003,Echo-Split Incident: Collapsed Skywalk Lanes,The Urban Sprawl,Collapsed Skywalk Lanes,20,Tremor-Fiend,Echo-Split Tremor-Fiend,Support Variant 2,18,22,1800,3558,120,204,40,55,0,0,65,90,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x1.98; DMG x1.70; ARM x1.38
SEV-004,Null-Branded Incident: Alliance Muster Square,The Urban Sprawl,Alliance Muster Square,20,Tremor-Fiend,Null-Branded Tremor-Fiend,Primary Variant / Event Anchor,18,22,1800,3558,120,204,40,55,0,0,65,90,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x1.98; DMG x1.70; ARM x1.38
SEV-004,Null-Branded Incident: Alliance Muster Square,The Urban Sprawl,Alliance Muster Square,20,Iron-Jaw Hound,Null-Branded Iron-Jaw Hound,Support Variant 1,13,22,950,3024,75,187,30,49,0,0,35,57,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.18; DMG x2.50; ARM x1.64
SEV-004,Null-Branded Incident: Alliance Muster Square,The Urban Sprawl,Alliance Muster Square,20,Aegis Carapace,Null-Branded Aegis Carapace,Support Variant 2,12,22,1100,3852,60,162,55,93,50,81,45,76,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.50; DMG x2.70; ARM x1.69
SEV-005,Rhythm-Warped Incident: Old Wayfinder Stairs,The Urban Sprawl,Old Wayfinder Stairs,20,Aegis Carapace,Rhythm-Warped Aegis Carapace,Primary Variant / Event Anchor,12,22,1100,3852,60,162,55,93,50,81,45,76,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.50; DMG x2.70; ARM x1.69
SEV-005,Rhythm-Warped Incident: Old Wayfinder Stairs,The Urban Sprawl,Old Wayfinder Stairs,20,Tremor-Fiend,Rhythm-Warped Tremor-Fiend,Support Variant 1,18,22,1800,3558,120,204,40,55,0,0,65,90,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x1.98; DMG x1.70; ARM x1.38
SEV-005,Rhythm-Warped Incident: Old Wayfinder Stairs,The Urban Sprawl,Old Wayfinder Stairs,20,Venom-Spitter,Rhythm-Warped Venom-Spitter,Support Variant 2,15,22,700,1842,65,139,15,23,0,0,20,31,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.63; DMG x2.14; ARM x1.53
SEV-006,Grav-Torn Incident: Glass Lobby Atrium,The Zenith Spire,Glass Lobby Atrium,20,Iron-Jaw Hound,Grav-Torn Iron-Jaw Hound,Primary Variant / Event Anchor,13,22,950,3024,75,187,30,49,0,0,35,57,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.18; DMG x2.50; ARM x1.64
SEV-006,Grav-Torn Incident: Glass Lobby Atrium,The Zenith Spire,Glass Lobby Atrium,20,Aegis Carapace,Grav-Torn Aegis Carapace,Support Variant 1,12,22,1100,3852,60,162,55,93,50,81,45,76,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.50; DMG x2.70; ARM x1.69
SEV-006,Grav-Torn Incident: Glass Lobby Atrium,The Zenith Spire,Glass Lobby Atrium,20,Tremor-Fiend,Grav-Torn Tremor-Fiend,Support Variant 2,18,22,1800,3558,120,204,40,55,0,0,65,90,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x1.98; DMG x1.70; ARM x1.38
SEV-007,Phase-Bound Incident: Executive Lift Shafts,The Zenith Spire,Executive Lift Shafts,21,Venom-Spitter,Phase-Bound Venom-Spitter,Primary Variant / Event Anchor,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
SEV-007,Phase-Bound Incident: Executive Lift Shafts,The Zenith Spire,Executive Lift Shafts,21,Iron-Jaw Hound,Phase-Bound Iron-Jaw Hound,Support Variant 1,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-007,Phase-Bound Incident: Executive Lift Shafts,The Zenith Spire,Executive Lift Shafts,21,Aegis Carapace,Phase-Bound Aegis Carapace,Support Variant 2,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-008,Venom-Laced Incident: Atmospheric Observation Deck,The Zenith Spire,Atmospheric Observation Deck,21,Null Anomaly,Venom-Laced Null Anomaly,Primary Variant / Event Anchor,20,23,18000,27683,560,780,35,45,90,111,105,134,1.1,1.15,12000,0,Echo Splintering; Gravity Reversal,HP x1.54; DMG x1.39; ARM x1.28
SEV-008,Venom-Laced Incident: Atmospheric Observation Deck,The Zenith Spire,Atmospheric Observation Deck,21,Aegis Carapace,Venom-Laced Aegis Carapace,Support Variant 1,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-008,Venom-Laced Incident: Atmospheric Observation Deck,The Zenith Spire,Atmospheric Observation Deck,21,Venom-Spitter,Venom-Laced Venom-Spitter,Support Variant 2,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
SEV-009,Warden-Fused Incident: Star-Elevator Spine,The Zenith Spire,Star-Elevator Spine,21,Aegis Carapace,Warden-Fused Aegis Carapace,Primary Variant / Event Anchor,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-009,Warden-Fused Incident: Star-Elevator Spine,The Zenith Spire,Star-Elevator Spine,21,Iron-Jaw Hound,Warden-Fused Iron-Jaw Hound,Support Variant 1,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-009,Warden-Fused Incident: Star-Elevator Spine,The Zenith Spire,Star-Elevator Spine,21,Tremor-Fiend,Warden-Fused Tremor-Fiend,Support Variant 2,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-010,Sovereign-Touched Incident: Oligarch Glass Suite,The Zenith Spire,Oligarch Glass Suite,21,Iron-Jaw Hound,Sovereign-Touched Iron-Jaw Hound,Primary Variant / Event Anchor,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-010,Sovereign-Touched Incident: Oligarch Glass Suite,The Zenith Spire,Oligarch Glass Suite,21,Venom-Spitter,Sovereign-Touched Venom-Spitter,Support Variant 1,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
SEV-010,Sovereign-Touched Incident: Oligarch Glass Suite,The Zenith Spire,Oligarch Glass Suite,21,Aegis Carapace,Sovereign-Touched Aegis Carapace,Support Variant 2,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-011,Data-Forged Incident: Aether Counterweight Hall,The Central Pillar / Star-Elevator Core,Aether Counterweight Hall,21,Venom-Spitter,Data-Forged Venom-Spitter,Primary Variant / Event Anchor,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
