quest_id,subquest_number,objective
SW-PG-001,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-001,2,"Enter Aerie of the Dawnshield, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-001,3,"Push into Stormglass War Room and build a verified evidence chain before the Order can redact the scene, using the encounter rule set: redaction fog, witness contradictions, and evidence nodes that decay unless stabilized."
SW-PG-001,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Revision Sovereign Armament of the Sky Wardens."
SW-PG-002,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-002,2,"Enter Stormglass War Room, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-002,3,"Push into Highdock Crown and hold the line against Order epoch-raiders while civilians and ship systems evacuate, using the encounter rule set: wave pressure, breach timers, and Order time-flare pylons that accelerate enemy spawns."
SW-PG-002,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Axiom Helmet of the Dawnshield Covenant."
SW-PG-003,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-003,2,"Enter Highdock Crown, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-003,3,"Push into Founder Seat Chamber and breach the Order cell’s fortified position and destroy its command focus, using the encounter rule set: shielded ritual captains, breach lanes, and chronal artillery windows."
SW-PG-003,4,"Confront an operative, construct, or lieutenant-proxy from The First-Second Cell, prevent the failure state where the cell will scatter to a harder future encounter, and extract the Order cipher intact."
SW-PG-003,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Syntax Chest of the Dawnshield Covenant."
SW-PG-004,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-004,2,"Enter Founder Seat Chamber, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-004,3,"Push into Oath-Ring Observatory and clear a multi-room Order facility, defeat its elite custodian, and recover the sealed proof, using the encounter rule set: three chambers, one era-lock puzzle, one elite Order custodian, and a final proof vault."
SW-PG-004,4,"Confront an operative, construct, or lieutenant-proxy from The First-Second Cell, prevent the failure state where the facility will lock itself one hour outside normal time, and extract the Order cipher intact."
SW-PG-004,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Omniscience Gauntlets of the Dawnshield Covenant."
SW-PG-005,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-005,2,"Enter Oath-Ring Observatory, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-005,3,"Push into Aerie of the Dawnshield and extract captured Sky Wardens or witnesses before their timelines are rewritten, using the encounter rule set: moving prisoners, fake rescue signals, and Order voice-mask decoys."
SW-PG-005,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Schema Boots of the Dawnshield Covenant."
SW-PG-006,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-006,2,"Enter Aerie of the Dawnshield, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-006,3,"Push into Stormglass War Room and steal an Order ledger, chronal key, or black-oath cipher without triggering an era-lock, using the encounter rule set: stealth routes, rotating patrol years, alarm clocks, and optional evidence caches."
SW-PG-006,4,"Confront an operative, construct, or lieutenant-proxy from The First-Second Cell, prevent the failure state where the ledger will burn backward into an earlier year, and extract the Order cipher intact."
SW-PG-006,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Red Pen Ring of the Dawnshield Covenant."
SW-PG-007,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-007,2,"Enter Stormglass War Room, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-007,3,"Push into Highdock Crown and expose an Order sympathizer inside a council proceeding without breaking the alliance compact, using the encounter rule set: testimony sequencing, proof challenges, and Order plants trying to poison the record."
