world_map_location,sublocation,event_id,covered,required_player_level
The Urban Sprawl,Spire-Foot Transit Plaza,SEV-001,True,20
The Urban Sprawl,Lower Civic Ring,SEV-002,True,20
The Urban Sprawl,Collapsed Skywalk Lanes,SEV-003,True,20
The Urban Sprawl,Alliance Muster Square,SEV-004,True,20
The Urban Sprawl,Old Wayfinder Stairs,SEV-005,True,20
The Zenith Spire,Glass Lobby Atrium,SEV-006,True,20
The Zenith Spire,Executive Lift Shafts,SEV-007,True,21
The Zenith Spire,Atmospheric Observation Deck,SEV-008,True,21
The Zenith Spire,Star-Elevator Spine,SEV-009,True,21
The Zenith Spire,Oligarch Glass Suite,SEV-010,True,21
The Central Pillar / Star-Elevator Core,Aether Counterweight Hall,SEV-011,True,21
The Central Pillar / Star-Elevator Core,Broken Ventilation Spine,SEV-012,True,21
The Central Pillar / Star-Elevator Core,Gravity Cable Junction,SEV-013,True,21
The Central Pillar / Star-Elevator Core,World-Pillar Maintenance Ring,SEV-014,True,21
The Central Pillar / Star-Elevator Core,Dawnforge Descent Gate,SEV-015,True,21
The Subterranean Grid,Neon Rail Concourse,SEV-016,True,21
The Subterranean Grid,Express-Line Switchroom,SEV-017,True,21
The Subterranean Grid,Dead Platform Twelve,SEV-018,True,22
The Subterranean Grid,Train-Hazard Arena,SEV-019,True,22
The Subterranean Grid,Spark’s Signal Den,SEV-020,True,22
The Provisioning Sectors,Drone Dispatch Alleys,SEV-021,True,22
The Provisioning Sectors,Ration Kiosk Row,SEV-022,True,22
The Provisioning Sectors,Reinforced Storefront Lane,SEV-023,True,22
The Provisioning Sectors,Wall-Run Market Roofs,SEV-024,True,22
The Provisioning Sectors,Vendor Audit Vault,SEV-025,True,22
The Raid-Rush Choke Points,Barricade Gate Alpha,SEV-026,True,22
The Raid-Rush Choke Points,Crush-Gate Corridor,SEV-027,True,22
The Raid-Rush Choke Points,Militia Sensor Nest,SEV-028,True,23
The Raid-Rush Choke Points,Kill-Lane Overpass,SEV-029,True,23
The Raid-Rush Choke Points,Fallback Ammunition Yard,SEV-030,True,23
The On-Demand Arteries,RideShare Roofway,SEV-031,True,23
The On-Demand Arteries,Lane-Swap Bridges,SEV-032,True,23
The On-Demand Arteries,Automated Toll Spine,SEV-033,True,23
The On-Demand Arteries,Overpass Leap Chain,SEV-034,True,23
The On-Demand Arteries,Service Vehicle Depot,SEV-035,True,23
The Micro-Transaction Markets,Slot-Lantern Bazaar,SEV-036,True,23
The Micro-Transaction Markets,Coin-Dispenser Arcade,SEV-037,True,23
The Micro-Transaction Markets,Neon Vendor Labyrinth,SEV-038,True,23
The Micro-Transaction Markets,Prize-Chest Alley,SEV-039,True,24
The Micro-Transaction Markets,Market Combat Stage,SEV-040,True,24
The Emerald Canopy Sanctuary,Suspended Rope Bridges,SEV-041,True,24
The Emerald Canopy Sanctuary,Beast-Back Platforms,SEV-042,True,24
The Emerald Canopy Sanctuary,Upper Canopy Safe Nests,SEV-043,True,24
The Emerald Canopy Sanctuary,Sanctuary Water Steps,SEV-044,True,24
The Emerald Canopy Sanctuary,Kaelen’s Treetop Camp,SEV-045,True,24
The Pachyderm Sanctuaries,Titan Footfall Basin,SEV-046,True,24
The Pachyderm Sanctuaries,Poacher-Drone Blind,SEV-047,True,24
The Pachyderm Sanctuaries,Wet Fern Corridor,SEV-048,True,24
The Pachyderm Sanctuaries,Sanctuary Feeding Run,SEV-049,True,24
The Pachyderm Sanctuaries,Ancient Beast Hollow,SEV-050,True,25
The Canopy Portrait Halls,Mural Vestibule,SEV-051,True,25
The Canopy Portrait Halls,Vine-Swing Nave,SEV-052,True,25
The Canopy Portrait Halls,Pressure-Plate Gallery,SEV-053,True,25
The Canopy Portrait Halls,Root-Sealed Reliquary,SEV-054,True,25
The Canopy Portrait Halls,Collapsed Fresco Walk,SEV-055,True,25
The Whispering Glade,Lumenroot Meadow,SEV-056,True,25
The Whispering Glade,Glow-Vine Path,SEV-057,True,25
The Whispering Glade,Silent Pool,SEV-058,True,25
The Whispering Glade,Combo-Lit Hidden Trail,SEV-059,True,25
The Whispering Glade,Twilight Elite Clearing,SEV-060,True,26
The Evolution Arenas,Dormant Crater Floor,SEV-061,True,26
The Evolution Arenas,Rising Pillar Ring,SEV-062,True,26
The Evolution Arenas,Adaptive Pit Lanes,SEV-063,True,26
The Evolution Arenas,Elemental Hazard Crown,SEV-064,True,26
The Evolution Arenas,Arena Evolution Core,SEV-065,True,26
The Heavy-Chewer Canyons,Geode Narrows,SEV-066,True,26
The Heavy-Chewer Canyons,Jawbone Switchback,SEV-067,True,26
The Heavy-Chewer Canyons,Pack-Hunter Ledge,SEV-068,True,26
The Heavy-Chewer Canyons,Choke-Canyon Basin,SEV-069,True,26
The Heavy-Chewer Canyons,Echoing Redstone Gate,SEV-070,True,26
The Molten Forge,Lava-Tide Walkways,SEV-071,True,27
The Molten Forge,Slagfall Gantry,SEV-072,True,27
The Molten Forge,Thermal Updraft Shafts,SEV-073,True,27
The Molten Forge,Warden Hammer Floor,SEV-074,True,27
The Molten Forge,Volcanic Intake Gate,SEV-075,True,27
The Magma-Core Forges,Molten Iron Rivers,SEV-076,True,27
The Magma-Core Forges,Hydraulic Hammer Row,SEV-077,True,27
The Magma-Core Forges,Anvil Timing Hall,SEV-078,True,27
The Magma-Core Forges,Forge-Crane Bridges,SEV-079,True,27
The Magma-Core Forges,Core Armory Vault,SEV-080,True,27
The Scrap-Yard Labyrinth,Magnetized Wall Maze,SEV-081,True,27
The Scrap-Yard Labyrinth,Walker-Bone Ramparts,SEV-082,True,28
The Scrap-Yard Labyrinth,Crushed Starship Stack,SEV-083,True,28
The Scrap-Yard Labyrinth,Scrap-Tek Salvage Yard,SEV-084,True,28
The Scrap-Yard Labyrinth,Junkyard Minotaur Turn,SEV-085,True,28
The Playa of Ash,Ash Flat Expanse,SEV-086,True,28
The Playa of Ash,Pyro Stage Ring,SEV-087,True,28
The Playa of Ash,Rusted Art-Car Grave,SEV-088,True,28
The Playa of Ash,Bass-Thrum Sandfield,SEV-089,True,28
