quest_id,item_id,item_name,rarity,required_level,class,slot,item_power,unique_effect,set_name,set_bonus_progression,trade_rule,upgrade_rule
SW-PG-001,G-SW-001,Revision Sovereign Armament of the Sky Wardens,Godly,40,Protocol Weaver,Weapon,1044,Godly active: converts a 100-hit combo into a class-specific skystrike that scales with revision mastery.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-002,G-SW-002,Axiom Helmet of the Dawnshield Covenant,Godly,40,Protocol Weaver,Helmet,1020,Godly passive: reveals elite tells earlier and preserves class resource when reacting to axiom mechanics.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-003,G-SW-003,Syntax Chest of the Dawnshield Covenant,Godly,40,Protocol Weaver,Chest,1036,Godly passive: grants a post-boss over-shield when class identity mechanics trigger under pressure.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-004,G-SW-004,Omniscience Gauntlets of the Dawnshield Covenant,Godly,40,Protocol Weaver,Gauntlets,1025,Godly passive: perfect counters add a stacking omniscience mark that increases finisher force.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-005,G-SW-005,Schema Boots of the Dawnshield Covenant,Godly,40,Protocol Weaver,Boots,1020,"Godly passive: vault, dash, or brace actions create a brief aerial wake usable for combo continuation.",Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-006,G-SW-006,Red Pen Ring of the Dawnshield Covenant,Godly,40,Protocol Weaver,Ring,1017,"Godly passive: once per encounter, prevents a lethal combo break and restores class resource.",Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-007,G-SW-007,Law Amulet of the Dawnshield Covenant,Godly,40,Protocol Weaver,Amulet,1032,Godly passive: doubles the first elite-control effect landed after entering a special event or dungeon room.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-008,G-SW-008,Paradox Cloak of the Dawnshield Covenant,Godly,40,Protocol Weaver,Cloak,1027,"Godly passive: while airborne or braced, converts incoming hazard pressure into class resource.",Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-009,G-SW-009,Aether Relic of the Dawnshield Covenant,Godly,40,Protocol Weaver,Relic,1047,Godly active: summons a Sky Warden support echo that performs the class signature control pattern.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
SW-PG-010,G-SW-010,EPI Prime Instrument of the Sky Wardens,Godly,40,Protocol Weaver,Class Tool,1063,Godly capstone: completes the 10-piece class set and unlocks the Sky Warden oath visual transformation.,Sky Warden Godly Covenant - Protocol Weaver,"2-piece: +5% resource generation during postgame Sky Warden content. | 4-piece: first perfect parry/counter/vault in each combat room grants immunity to combo decay for 3 seconds. | 6-piece: class-specific mobility skill leaves a Dawnshield afterimage that taunts, tethers, chills, or staggers depending on class. | 8-piece: Godly skills gain a small cooldown refund after elite kills. | 10-piece: unlocks the full Sky Warden Covenant form for this class; purely postgame Godly power, no XP boost.",Account-bound on acquisition; no auction sale; cannot be vendored; cosmetic transmog unlocked account-wide.,May be cosmetically attuned only; power rolls are fixed to protect postgame balance.
